Numero,Mot,example sentence (facile),Corrected Sentence
351,Damage,The storm caused extensive damage to the property.,The storm caused extensive damage to the property.
352,Deadline,We need to meet the deadline by the end of the week.,We need to meet the deadline by the end of the week.
353,Deal,They negotiated a deal that was mutually beneficial.,They negotiated a deal that was mutually beneficial.
354,Deal with,I'll deal with the customer complaints as soon as possible.,I'll deal with the customer complaints as soon as possible.
355,Debit,You can pay by debit card or credit card.,You can pay by debit card or credit card.
356,Debt,He's struggling to pay off his student debt.,He's struggling to pay off his student debt.
357,Decision,We need to make a decision soon.,We need to make a decision soon.
358,declare ,He declared his intention to run for mayor.,He declared his intention to run for mayor. (Ajout de 'declare ')
359,decline ,He declined the invitation to the party.,He declined the invitation to the party. (Ajout de 'decline ')
360,Decorate,She likes to decorate her house with colorful artwork.,She likes to decorate her house with colorful artwork.
361,Decrease,The price of the product has decreased since last month.,The price of the product has decreased since last month. (Ajout de 'Decrease')
362,Dedicate,She decided to dedicate herself fully to her studies.,She decided to dedicate herself fully to her studies.
363,Deduct,You can deduct business expenses from your taxable income.,You can deduct business expenses from your taxable income.
364,Defect,The manufacturer will replace any product with a defect.,The manufacturer will replace any product with a defect.
365,Defective,The toy was returned to the store because it was defective.,The toy was returned to the store because it was defective.
366,Definite,We'll need a definite answer by tomorrow.,We'll need a definite answer by tomorrow.
367,Definitely,I'm definitely going to the concert tonight.,I'm definitely going to the concert tonight.
368,Degree,He earned a degree in computer science from a prestigious university.,He earned a degree in computer science from a prestigious university.
369,Delay,The flight has been delayed due to bad weather.,The flight has been delayed due to bad weather. (Ajout de 'Delay')
370,Delete,Please delete the unnecessary files from the system.,Please delete the unnecessary files from the system.
371,Delight,It was a delight to meet you.,It was a delight to meet you.
372,Delighted,She was delighted with the gift.,She was delighted with the gift.
373,Deliver,The courier will deliver the package tomorrow.,The courier will deliver the package tomorrow.
374,Delivery,The delivery of the goods was delayed due to bad weather.,The delivery of the goods was delayed due to bad weather.
375,Demand,There's a high demand for organic produce.,There's a high demand for organic produce.
376,Demanding,"The job can be demanding at times, but it's also rewarding.","The job can be demanding at times, but it's also rewarding."
377,Demonstrate,Let me demonstrate how to use the software.,Let me demonstrate how to use the software.
378,Depart,The flight is scheduled to depart at 9 a.m.,The flight is scheduled to depart at 9 a.m.
379,Department,The sales department is responsible for generating revenue.,The sales department is responsible for generating revenue.
380,Departure,The departure of the flight was delayed by two hours.,The departure of the flight was delayed by two hours.
381,Depend on,Your success will depend on your dedication and hard work.,Your success will depend on your dedication and hard work.
382,dependable,You can always count on him; he's very dependable.,You can always count on him; he's very dependable.
383,dependably,The system has functioned dependably for years.,The system has functioned dependably for years.
384,Dependence,Many countries have a dependence on fossil fuels.,Many countries have a dependence on fossil fuels.
385,dependent,Children are dependent on their parents for care and guidance.,Children are dependent on their parents for care and guidance.
386,depending,The success of the project will vary depending on funding.,The success of the project will vary depending on funding.
387,Deposit,You'll need to make a deposit to secure your reservation.,You'll need to make a deposit to secure your reservation.
388,Description,Can you provide a brief description of the problem?,Can you provide a brief description of the problem?
389,Design,She studied design at university and now works for a fashion company.,She studied design at university and now works for a fashion company.
390,Designate,The room was designated as a quiet study area.,The room was designated as a quiet study area. (Ajout de 'Designate')
391,Desperate,He was desperate to find a job after being unemployed for months.,He was desperate to find a job after being unemployed for months.
392,Dessert,"I'll have the cheesecake for dessert, please.","I'll have the cheesecake for dessert, please."
393,Destination,Our destination is a remote village in the mountains.,Our destination is a remote village in the mountains.
394,Detail,The report includes every detail of the project.,The report includes every detail of the project.
395,Detailed,She provided a detailed explanation of the process.,She provided a detailed explanation of the process.
396,Detect,The alarm system is designed to detect any intruders.,The alarm system is designed to detect any intruders.
397,Deterioration,The deterioration of the building was evident from the cracks in the walls.,The deterioration of the building was evident from the cracks in the walls.
398,Determine,A thorough investigation is needed to determine the cause of the fire.,A thorough investigation is needed to determine the cause of the fire.
399,Determined,She's determined to achieve her goals no matter what.,She's determined to achieve her goals no matter what.
400,Develop,The company plans to develop new products for the international market.,The company plans to develop new products for the international market.
401,Developer,He's a software developer working on the latest mobile app.,He's a software developer working on the latest mobile app.
402,Development,The development of renewable energy sources is essential for a sustainable future.,The development of renewable energy sources is essential for a sustainable future.
403,Device,The new device is compatible with both Android and iOS.,The new device is compatible with both Android and iOS.
404,Diagnose,The doctor will diagnose the cause of your symptoms.,The doctor will diagnose the cause of your symptoms.
405,Differential,The differential between the two products is minimal.,The differential between the two products is minimal.
406,Director,She's the director of marketing for the company.,She's the director of marketing for the company.
407,Disagree,It's okay to disagree; healthy debate can lead to better solutions.,It's okay to disagree; healthy debate can lead to better solutions.
408,Disagreement,There was a disagreement about how to proceed with the project.,There was a disagreement about how to proceed with the project.
409,disallow ,The referee disallowed the goal due to a foul.,The referee disallowed the goal due to a foul. (Ajout de 'disallow ')
410,Disappointing,The results of the experiment were disappointing.,The results of the experiment were disappointing.
411,Disconnect,The sudden power outage caused the computer to disconnect from the network.,The sudden power outage caused the computer to disconnect from the network.
412,Discount,The store is offering a discount on all items this weekend.,The store is offering a discount on all items this weekend.
413,Discrepancy,There seems to be a discrepancy between the two reports.,There seems to be a discrepancy between the two reports.
414,Discrimination,The company has a zero-tolerance policy for discrimination.,The company has a zero-tolerance policy for discrimination.
415,Discuss,Let's discuss the details of the proposal at the meeting.,Let's discuss the details of the proposal at the meeting.
416,Discussion,"The discussion lasted for hours, but we finally reached a decision.","The discussion lasted for hours, but we finally reached a decision."
417,Dish,I ordered the seafood dish for dinner.,I ordered the seafood dish for dinner.
418,Dismiss,The judge decided to dismiss the case due to lack of evidence.,The judge decided to dismiss the case due to lack of evidence.
419,Dismissive,He gave a dismissive wave of his hand and walked away.,He gave a dismissive wave of his hand and walked away.
420,Display,The museum has a display of ancient artifacts.,The museum has a display of ancient artifacts.
421,Disposable,Please use the disposable gloves when handling the chemicals.,Please use the disposable gloves when handling the chemicals.
422,Dispose,You can dispose of the packaging in the recycling bin.,You can dispose of the packaging in the recycling bin.
423,Dispute,The two parties are in a dispute over land ownership.,The two parties are in a dispute over land ownership.
424,disrupted,The flight schedule was disrupted due to bad weather.,The flight schedule was disrupted due to bad weather.
425,Disruption,The construction work caused a disruption to traffic in the area.,The construction work caused a disruption to traffic in the area.
426,dissatisfaction,There was widespread dissatisfaction with the government's policies.,There was widespread dissatisfaction with the government's policies.
427,Distinctive,The design of the building is distinctive and unique.,The design of the building is distinctive and unique.
428,Distinguish,It's important to distinguish between fact and opinion.,It's important to distinguish between fact and opinion.
429,Distribute,Volunteers will distribute food to those in need.,Volunteers will distribute food to those in need.
430,Distribution,The distribution of wealth is uneven in many countries.,The distribution of wealth is uneven in many countries.
431,Dividend,Shareholders received a dividend payment at the end of the year.,Shareholders received a dividend payment at the end of the year.
432,Document,Make sure to document all your expenses for reimbursement.,Make sure to document all your expenses for reimbursement.
433,documentary,She watched a documentary about wildlife conservation.,She watched a documentary about wildlife conservation.
434,documented,The findings of the study are well-documented in the research paper.,The findings of the study are well-documented in the research paper.
435,documenting,He spent the afternoon documenting the archaeological finds.,He spent the afternoon documenting the archaeological finds.
436,documents,Make sure to keep all important documents in a safe place.,Make sure to keep all important documents in a safe place.
437,Domestic,Domestic violence is a serious issue that affects families worldwide.,Domestic violence is a serious issue that affects families worldwide.
438,Donate,I donated all my old clothes to charity.,I donated all my old clothes to charity. (Ajout de 'Donate')
439,Donation,Thank you for your generous donation to the school.,Thank you for your generous donation to the school.
440,Double,The company doubled its profits in the last quarter.,The company doubled its profits in the last quarter. (Ajout de 'Double')
441,Down payment,We had to make a down payment of 20% on the house.,We had to make a down payment of 20% on the house.
442,Download,You can download the app for free from the app store.,You can download the app for free from the app store.
443,Downmarket,This brand is trying to move upmarket with its latest collection.,This brand is trying to move upmarket with its latest collection. (Ajout de 'Downmarket')
444,Downsize,The company had to downsize due to financial difficulties.,The company had to downsize due to financial difficulties.
445,Downturn,The economic downturn led to widespread job losses.,The economic downturn led to widespread job losses.
446,Downward,The graph shows a downward trend in sales.,The graph shows a downward trend in sales.
447,Dramatic,There was a dramatic increase in temperature overnight.,There was a dramatic increase in temperature overnight.
448,Drastic,The company made a drastic decision to restructure the organization.,The company made a drastic decision to restructure the organization.
449,Drastically,The price of oil has dropped drastically in the last month.,The price of oil has dropped drastically in the last month.
450,Draw,She likes to draw in her spare time.,She likes to draw in her spare time.
451,Draw up,The lawyers will draw up a contract outlining the terms of the agreement.,The lawyers will draw up a contract outlining the terms of the agreement.
452,Drawer,The key to the file cabinet is in the top drawer.,The key to the file cabinet is in the top drawer.
453,Drive,It's about a two-hour drive from here to the beach.,It's about a two-hour drive from here to the beach.
454,Drop,Be careful not to drop your phone in the water.,Be careful not to drop your phone in the water.
455,Dull,The movie was so dull that I fell asleep halfway through.,The movie was so dull that I fell asleep halfway through.
456,Duration,The duration of the flight is approximately four hours.,The duration of the flight is approximately four hours.
457,Duty-free,The duty-free shop at the airport sells a variety of goods.,The duty-free shop at the airport sells a variety of goods.
458,Earn,He works hard to earn a living for his family.,He works hard to earn a living for his family.
459,Earnings,His earnings have increased since he started his own business.,His earnings have increased since he started his own business.
460,Economical,Buying in bulk is more economical in the long run.,Buying in bulk is more economical in the long run.
461,Economize,We need to economize and cut unnecessary expenses.,We need to economize and cut unnecessary expenses.
462,Economy,The global economy is experiencing a period of uncertainty.,The global economy is experiencing a period of uncertainty.
463,Effective,Regular exercise is effective in reducing stress levels.,Regular exercise is effective in reducing stress levels.
464,Effectively,She communicated her ideas effectively during the presentation.,She communicated her ideas effectively during the presentation.
465,Effectiveness,The effectiveness of the new drug has been proven in clinical trials.,The effectiveness of the new drug has been proven in clinical trials.
466,efficacy,The efficacy of the new drug has been proven in clinical trials.,The efficacy of the new drug has been proven in clinical trials.
467,Efficiency,The new software improved the efficiency of our workflow.,The new software improved the efficiency of our workflow.
468,gap,There is a significant gap between the rich and the poor in this country.,There is a significant gap between the rich and the poor in this country.
469,acceptted ,The board accepted the revised budget plan recognizing its importance ,The board accepted the revised budget plan recognizing its importance  (Ajout de 'acceptted ')
470,Accounted for,"The financial discrepancies were meticulously accounted for in the audit, providing a clear and accurate financial overview","The financial discrepancies were meticulously accounted for in the audit, providing a clear and accurate financial overview"
471,acted ,"The management team acted promptly to implement the new strategy, resulting in immediate improvements in operational efficiency.","The management team acted promptly to implement the new strategy, resulting in immediate improvements in operational efficiency."
472,Adapted,The company adapted its strategies to meet new market demands and improve efficiency,The company adapted its strategies to meet new market demands and improve efficiency
473,admired ,The innovative approach of the startup was admired by industry leaders for its creativity and effectiveness.,The innovative approach of the startup was admired by industry leaders for its creativity and effectiveness.
474,admitted ,The manager admitted that the project's initial budget was underestimated and promised to revise the financial plan,The manager admitted that the project's initial budget was underestimated and promised to revise the financial plan
475,Advertisements,The company launched multiple advertisements across various media to reach a broader audience,The company launched multiple advertisements across various media to reach a broader audience
476,Advised,I advised them to work harder to get a promotion ,I advised them to work harder to get a promotion 
477,Affected,The change in policy will affected everyone in the company.,The change in policy will affected everyone in the company.
478,aisles ,"The supermarket organized the aisles into clear sections for produce, dairy, and bakery items, making it easier for customers to find what they need.","The supermarket organized the aisles into clear sections for produce, dairy, and bakery items, making it easier for customers to find what they need."
479,Anticipated,We anticipated the market crash ,We anticipated the market crash 
480,Apology,an apology is a must have treat in the corporate world ,an apology is a must have treat in the corporate world 
481,Appliances,The store featured a range of energy-efficient appliances to attract environmentally conscious customers,The store featured a range of energy-efficient appliances to attract environmentally conscious customers
482,Applicants,The company interviewed several qualified applicants for the open position.,The company interviewed several qualified applicants for the open position.
483,Approved,The appropriation of funds was approved by the finance committee.,The appropriation of funds was approved by the finance committee.
484,Areas,They decided to share the areas rather than go to court.,They decided to share the areas rather than go to court.
485,Arguing ,they spent the last three years arguing about whose the real owner of the land ,they spent the last three years arguing about whose the real owner of the land 
486,Arranged,the HR deparetemnt arranged a party to celebrate the increase in turnover ,the HR deparetemnt arranged a party to celebrate the increase in turnover 
487,Arrangements,the arrangement made by the ceo was not suitable for everyone ,the arrangement made by the ceo was not suitable for everyone  (Ajout de 'Arrangements')
488,Authorized,"Only authorized personnel are allowed to access the secure data files, ensuring that sensitive information remains protected from unauthorized use.","Only authorized personnel are allowed to access the secure data files, ensuring that sensitive information remains protected from unauthorized use."
489,Assembled,"The team assembled the prototype, testing each component for quality.","The team assembled the prototype, testing each component for quality."
490,Assessment,The manager carries an assessment of the project's progress each week.,The manager carries an assessment of the project's progress each week.
491,Benefits,One of the benefits of working here is the flexible schedule.,One of the benefits of working here is the flexible schedule.
492,Assigned,The company's assigned the job to a new employer ,The company's assigned the job to a new employer 
493,Assumed,he assumed he will be fired after his mistake ,he assumed he will be fired after his mistake 
494,Boosted,The new marketing strategy boosted the  sales.,The new marketing strategy boosted the  sales.
495,Characterized,His actions are characterized by kindness and generosity.,His actions are characterized by kindness and generosity.
496,CompatibIlity,The software's compatibility with various operating systems ensures that users can access its features regardless of their device,The software's compatibility with various operating systems ensures that users can access its features regardless of their device
497,Compensation,"The company reviewed its compensation structure to ensure it was competitive and fair, offering adjustments to salaries and benefits based on market standards and employee performance.","The company reviewed its compensation structure to ensure it was competitive and fair, offering adjustments to salaries and benefits based on market standards and employee performance."
498,Complimented,She complimented heron her presentation skills.,She complimented heron her presentation skills.
499,Confirmed,have you confirmed your attendance at the meeting?,have you confirmed your attendance at the meeting?
500,Considered,We  considered all options before making a decision.,We  considered all options before making a decision.
501,Consulted,consulted with the legal team before proceeding.,consulted with the legal team before proceeding.
502,Continuing ,we are continuing our discussion after the break.,we are continuing our discussion after the break.
503,Elderly,The program provides assistance to elderly individuals living alone.,The program provides assistance to elderly individuals living alone.
504,Electrical,The electrical wiring in the building needs to be updated.,The electrical wiring in the building needs to be updated.
505,Elevator,Please take the elevator to the fifth floor.,Please take the elevator to the fifth floor.
506,Embark,They're planning to embark on a round-the-world trip next year.,They're planning to embark on a round-the-world trip next year.
507,Emergency,"In case of emergency, please dial 911.","In case of emergency, please dial 911."
508,Emphasize,I can't emphasize enough how important this is.,I can't emphasize enough how important this is.
509,Employ,The company plans to employ new staff next month.,The company plans to employ new staff next month.
510,Employee,All employees must attend the safety training session.,All employees must attend the safety training session. (Ajout de 'Employee')
511,Employer,The employer is responsible for providing a safe work environment.,The employer is responsible for providing a safe work environment.
512,Employment,Employment opportunities in the tech industry are on the rise.,Employment opportunities in the tech industry are on the rise.
513,Enable,The new software will enable us to streamline our workflow.,The new software will enable us to streamline our workflow.
514,Enclose,Please enclose a copy of your resume with your application.,Please enclose a copy of your resume with your application.
515,Encourage,I encourage you to pursue your dreams.,I encourage you to pursue your dreams.
516,Endurance,Long-distance runners need a lot of endurance to complete a marathon.,Long-distance runners need a lot of endurance to complete a marathon.
517,Endure,"Despite the challenges, she managed to endure and overcome them.","Despite the challenges, she managed to endure and overcome them."
518,Engineer,He's an engineer working for a multinational corporation.,He's an engineer working for a multinational corporation.
519,Engineering,She's studying engineering at university.,She's studying engineering at university.
520,Enhance,The company aims to enhance the customer experience.,The company aims to enhance the customer experience.
521,Ensure,We need to ensure that all safety regulations are followed.,We need to ensure that all safety regulations are followed.
522,Enterprise,Starting a business requires a lot of enterprise and dedication.,Starting a business requires a lot of enterprise and dedication.
523,Enthusiastic,She's always enthusiastic about trying new things.,She's always enthusiastic about trying new things.
524,Enthusiastically,They welcomed the idea of a team-building retreat enthusiastically.,They welcomed the idea of a team-building retreat enthusiastically.
525,Entitlement,Employees are entitled to a certain number of vacation days per year.,Employees are entitled to a certain number of vacation days per year. (Ajout de 'Entitlement')
526,Entrée,The main entrée of the evening was a delicious seafood dish.,The main entrée of the evening was a delicious seafood dish.
527,Environment,We need to protect the environment for future generations.,We need to protect the environment for future generations.
528,Environmental,The environmental impact of the project needs to be assessed.,The environmental impact of the project needs to be assessed.
529,Equivalent,This amount of money is roughly equivalent to what we spent last year.,This amount of money is roughly equivalent to what we spent last year.
530,Essential,Water is essential for all living organisms.,Water is essential for all living organisms.
531,Establish,The company aims to establish itself as a leader in sustainable practices.,The company aims to establish itself as a leader in sustainable practices.
532,establish,They plan to establish a new business next year.,They plan to establish a new business next year.
533,Estimate,Can you give me an estimate of how much the repairs will cost?,Can you give me an estimate of how much the repairs will cost?
534,Estimate,Can you give me an estimate of how much the repairs will cost?,Can you give me an estimate of how much the repairs will cost?
535,Etiquette,Knowing proper etiquette is important when attending formal events.,Knowing proper etiquette is important when attending formal events.
536,Evaluate,It's important to evaluate the success of the project objectively.,It's important to evaluate the success of the project objectively.
537,evaluating,The committee is currently evaluating the candidates for the job.,The committee is currently evaluating the candidates for the job.
538,Event,"The charity event raised over $10,000 for a good cause.","The charity event raised over $10,000 for a good cause."
539,Evidence,The police found new evidence that could lead to a breakthrough in the case.,The police found new evidence that could lead to a breakthrough in the case.
540,Evolve,Technology continues to evolve at a rapid pace.,Technology continues to evolve at a rapid pace.
541,Exact,Can you provide the exact location of the meeting?,Can you provide the exact location of the meeting?
542,Examination,He passed the entrance examination with flying colors.,He passed the entrance examination with flying colors.
543,Examine,The doctor will examine you now.,The doctor will examine you now.
544,Excel,She excels in math and science.,She excels in math and science. (Ajout de 'Excel')
545,Excellent,The service at the restaurant was excellent.,The service at the restaurant was excellent.
546,Excursion,They went on an excursion to explore the nearby caves.,They went on an excursion to explore the nearby caves.
547,Executive,The executive team met to discuss the company's quarterly earnings.,The executive team met to discuss the company's quarterly earnings.
548,Exhibit,The museum exhibits artifacts from ancient civilizations.,The museum exhibits artifacts from ancient civilizations. (Ajout de 'Exhibit')
549,Expand,The company plans to expand its operations overseas.,The company plans to expand its operations overseas.
550,Expansion,The expansion of the business into new markets was a success.,The expansion of the business into new markets was a success.
551,Expect,I expect you to be on time for the meeting.,I expect you to be on time for the meeting.
552,Expectation,The results exceeded our expectations.,The results exceeded our expectations. (Ajout de 'Expectation')
553,Expenditure,The government has increased its expenditure on healthcare.,The government has increased its expenditure on healthcare.
554,Expense,Traveling abroad can be quite an expense.,Traveling abroad can be quite an expense.
555,Expensive,The designer handbag was too expensive for my budget.,The designer handbag was too expensive for my budget.
556,Experience,She has years of experience in the field.,She has years of experience in the field.
557,Experienced,We're looking for an experienced candidate to fill the position.,We're looking for an experienced candidate to fill the position.
558,Experiment,Scientists often need to experiment to make new discoveries.,Scientists often need to experiment to make new discoveries.
559,Expiration,nan,nan (Ajout de 'Expiration')
560,Expiry,Please check the expiration date before consuming the product.,Please check the expiration date before consuming the product. (Ajout de 'Expiry')
561,Exploration,The exploration of space has led to many scientific discoveries.,The exploration of space has led to many scientific discoveries.
562,Explore,They decided to explore the possibility of opening a new branch.,They decided to explore the possibility of opening a new branch.
563,Express,You need to express your opinions clearly during the presentation.,You need to express your opinions clearly during the presentation.
564,Extend,We decided to extend our vacation by another week.,We decided to extend our vacation by another week.
565,Extension,The deadline has been extended by another week.,The deadline has been extended by another week. (Ajout de 'Extension')
566,External,The external factors influencing the market are beyond our control.,The external factors influencing the market are beyond our control.
567,Facilities,The hotel offers excellent facilities for business travelers.,The hotel offers excellent facilities for business travelers.
568,Facility,The new sports facility has state-of-the-art equipment for athletes to train.,The new sports facility has state-of-the-art equipment for athletes to train.
569,Factor,Price is just one factor to consider when making a decision.,Price is just one factor to consider when making a decision.
570,Factory,"The factory produces over 1,000 units per day.","The factory produces over 1,000 units per day."
571,Fad,That diet is just a fad; it won't last long.,That diet is just a fad; it won't last long.
572,Fail,"If you fail to plan, you plan to fail.","If you fail to plan, you plan to fail."
573,Failure,The project was a failure due to lack of funding.,The project was a failure due to lack of funding.
574,Fair,He's known for being fair and impartial in his decisions.,He's known for being fair and impartial in his decisions.
575,Fall through,"Unfortunately, our plans to expand overseas fell through.","Unfortunately, our plans to expand overseas fell through."
576,Fall to,It falls to the manager to make the final decision.,It falls to the manager to make the final decision.
577,Famed,The restaurant is famed for its delicious seafood dishes.,The restaurant is famed for its delicious seafood dishes.
578,Fare,The fare for the train ride was quite expensive.,The fare for the train ride was quite expensive.
579,Fault,The fault lies with the management for not addressing the issue sooner.,The fault lies with the management for not addressing the issue sooner.
580,Faulty,The alarm system was faulty and failed to go off during the break-in.,The alarm system was faulty and failed to go off during the break-in.
581,Favor,Can you do me a favor and pick up my dry cleaning?,Can you do me a favor and pick up my dry cleaning?
582,Fax,He sent the contract via fax for her to review.,He sent the contract via fax for her to review.
583,Feature,The new smartphone has a number of innovative features.,The new smartphone has a number of innovative features. (Ajout de 'Feature')
584,Fee,There's a small fee for using the ATM outside of the bank's network.,There's a small fee for using the ATM outside of the bank's network.
585,Feedback,We welcome your feedback on how we can improve our services.,We welcome your feedback on how we can improve our services.
586,Field,She's an expert in her field of study.,She's an expert in her field of study.
587,Figure,Can you provide a rough figure for the project budget?,Can you provide a rough figure for the project budget?
588,Figures,The quarterly financial report includes several figures that illustrate the company's revenue growth and profit margins.,The quarterly financial report includes several figures that illustrate the company's revenue growth and profit margins.
589,File,Please ensure that the project file is backed up and properly organized before the end of the day.,Please ensure that the project file is backed up and properly organized before the end of the day.
590,Fill out,You need to fill out this form before your appointment.,You need to fill out this form before your appointment.
591,Finance,He works in finance and specializes in investment banking.,He works in finance and specializes in investment banking.
592,finances,She's in charge of the company's finances.,She's in charge of the company's finances.
593,Financial,The company is in good financial health.,The company is in good financial health.
594,financially,They are financially stable and able to invest in their future.,They are financially stable and able to invest in their future.
595,financier,The financier backed the startup with a substantial investment.,The financier backed the startup with a substantial investment.
596,Firm,She works for a law firm in the city.,She works for a law firm in the city.
597,Fix,The repairman will fix the leaky faucet tomorrow.,The repairman will fix the leaky faucet tomorrow.
598,Flexible,"The job offers flexible hours, which is perfect for me.","The job offers flexible hours, which is perfect for me."
599,Flight,Their flight was delayed due to bad weather.,Their flight was delayed due to bad weather.
600,Flight attendant,The flight attendant served drinks and snacks to the passengers.,The flight attendant served drinks and snacks to the passengers.
601,Fluctuate,Prices fluctuate depending on supply and demand.,Prices fluctuate depending on supply and demand.
602,Fluctuation,There has been a fluctuation in the exchange rate recently.,There has been a fluctuation in the exchange rate recently.
603,fly-by-night,Be cautious when dealing with fly-by-night companies promising unrealistic returns.,Be cautious when dealing with fly-by-night companies promising unrealistic returns.
604,Focus,Please focus on the main objectives of the project.,Please focus on the main objectives of the project.
605,Focused,The team remained focused throughout the challenging deadline,The team remained focused throughout the challenging deadline
606,Fold,Fold the document along the dotted line before placing it in the envelope.,Fold the document along the dotted line before placing it in the envelope.
607,Folder,I saved the report in the designated folder on the shared drive,I saved the report in the designated folder on the shared drive
608,Force,"The company had to force changes in its strategy to adapt to market conditions.""","The company had to force changes in its strategy to adapt to market conditions."""
609,Forecast,The weather forecast predicts rain for the weekend.,The weather forecast predicts rain for the weekend.
610,forecasting,Weather forecasting is based on analysis of atmospheric conditions.,Weather forecasting is based on analysis of atmospheric conditions.
611,Foreign,"The company is expanding into foreign markets to increase its global presence.""","The company is expanding into foreign markets to increase its global presence."""
612,Forget,Don't forget to submit your expense report by the end of the day.,Don't forget to submit your expense report by the end of the day.
613,Forgetful,"He is sometimes forgetful about deadlines, so setting reminders helps.","He is sometimes forgetful about deadlines, so setting reminders helps."
614,Form,Please fill out the application form and submit it by email.,Please fill out the application form and submit it by email.
615,Forward,Please forward the email to the relevant department.,Please forward the email to the relevant department.
616,Founded,The company was founded in 1995 and has grown significantly since then,The company was founded in 1995 and has grown significantly since then
617,Frank,She gave a frank assessment of the project's challenges during the meeting.,She gave a frank assessment of the project's challenges during the meeting.
618,Frankly,"Frankly, I think the proposal needs more detailed analysis before approval","Frankly, I think the proposal needs more detailed analysis before approval"
619,frequently ,She frequently visits her parents on weekends.,She frequently visits her parents on weekends.
620,Front desk,You can ask for assistance at the front desk.,You can ask for assistance at the front desk.
621,Fuel,The company needs to fuel its vehicles before starting the long trip,The company needs to fuel its vehicles before starting the long trip
622,Fulfill,The team worked hard to fulfill all customer orders before the holiday.,The team worked hard to fulfill all customer orders before the holiday.
623,fulfill ,The company promises to fulfill all orders within 48 hours.,The company promises to fulfill all orders within 48 hours.
624,Function,The new software's main function is to streamline data entry,The new software's main function is to streamline data entry
625,Functional,The office is fully functional after the recent renovations.,The office is fully functional after the recent renovations.
626,Fund,The charity event aims to raise funds for the local hospital.,The charity event aims to raise funds for the local hospital. (Ajout de 'Fund')
627,Fundraising,The organization is planning a fundraising gala to support its new initiative,The organization is planning a fundraising gala to support its new initiative
628,Furniture,The office furniture needs to be replaced due to wear and tear,The office furniture needs to be replaced due to wear and tear
629,Further,We need to research further to understand the market trends.,We need to research further to understand the market trends.
630,Gather,Let's gather all the necessary documents before the meeting.,Let's gather all the necessary documents before the meeting.
631,Gesture,Sending a thank-you note is a nice gesture to show appreciation,Sending a thank-you note is a nice gesture to show appreciation
632,get by,"Despite financial difficulties, they manage to get by each month.","Despite financial difficulties, they manage to get by each month."
633,Get in touch,"If you have any questions, feel free to get in touch.","If you have any questions, feel free to get in touch."
634,get on,She gets on well with her colleagues at work.,She gets on well with her colleagues at work.
635,get through,She finally got through the difficult exam after months of studying.,She finally got through the difficult exam after months of studying.
636,Go ahead with,"After reviewing the proposal, the board decided to go ahead with the new marketing campaign","After reviewing the proposal, the board decided to go ahead with the new marketing campaign"
637,Go under,"Despite their best efforts, the company struggled financially and eventually had to go under.","Despite their best efforts, the company struggled financially and eventually had to go under."
638,Goal,"Achieving a 10% increase in sales by the end of the quarter is our primary goal for this year.""","Achieving a 10% increase in sales by the end of the quarter is our primary goal for this year."""
639,going places,"With her talent and hard work, she's definitely going places in her career.","With her talent and hard work, she's definitely going places in her career."
640,Goods,The store received a shipment of new goods today.,The store received a shipment of new goods today.
641,Gradually,The company is gradually expanding its operations into new markets.,The company is gradually expanding its operations into new markets.
642,Grievance,Employees should file a grievance if they have any concerns about workplace conditions,Employees should file a grievance if they have any concerns about workplace conditions
643,Grill,The manager will grill the candidate with detailed questions during the interview.,The manager will grill the candidate with detailed questions during the interview.
644,Growth,The company’s growth has been impressive over the past year,The company’s growth has been impressive over the past year
645,grudge,She held a grudge against him for years after the argument.,She held a grudge against him for years after the argument.
646,Guarantee,The product comes with a two-year guarantee for any defects,The product comes with a two-year guarantee for any defects
647,Guidelines,Follow the safety guidelines to ensure a safe working environment,Follow the safety guidelines to ensure a safe working environment
648,Haggle,Customers often haggle over prices at the local marke,Customers often haggle over prices at the local marke
649,Handle,She knows how to handle difficult situations with professionalism.,She knows how to handle difficult situations with professionalism.
650,Handy,This new tool is very handy for organizing files efficiently.,This new tool is very handy for organizing files efficiently.
651,Harbor,The ship docked at the harbor after a long journey.,The ship docked at the harbor after a long journey.
652,hard cash,They prefer to pay in hard cash rather than using credit cards.,They prefer to pay in hard cash rather than using credit cards.
653,hard labour,The prisoners were sentenced to hard labor for their crimes.,The prisoners were sentenced to hard labor for their crimes.
654,hard sell,The salesman used a hard sell approach to convince customers to buy the product.,The salesman used a hard sell approach to convince customers to buy the product.
655,hardship,The family endured many hardships during the war.,The family endured many hardships during the war. (Ajout de 'hardship')
656,Harmful,nan,nan (Ajout de 'Harmful')
657,hatred,His hatred for his rival was evident in his words.,His hatred for his rival was evident in his words.
658,Have,Do you have enough money to cover the expenses?,Do you have enough money to cover the expenses?
659,Hazardous,The chemicals are stored in a separate area because they are hazardous to handle,The chemicals are stored in a separate area because they are hazardous to handle
660,Head office,Our head office is located in the city center,Our head office is located in the city center
661,Head up,She will head up the new marketing team starting next month,She will head up the new marketing team starting next month
662,Headquarters,The company's headquarters is in New York.,The company's headquarters is in New York.
663,Hesitate,Don't hesitate to contact us if you have any questions.,Don't hesitate to contact us if you have any questions.
664,Hesitation,His hesitation was evident when he was asked to lead the project.,His hesitation was evident when he was asked to lead the project.
665,Hide,The sensitive documents should be hidden in a secure location,The sensitive documents should be hidden in a secure location (Ajout de 'Hide')
