Mot,Thème,Translation,Synonym,Antonym,Definition (B1 Level),Difficulty Level,example sentence (facile),example sentence (moyen) B1 ,example sentence (advanced) 
Audit,Business\Finance,Audit,Examination,Approval,An audit is an official inspection of an individual's or organization's accounts.,B1,The company undergoes an annual audit to ensure compliance.,The company will conduct an audit of its financial records.,"The internal audit revealed discrepancies in the financial records, prompting a thorough investigation to rectify errors and enhance accounting practices."
Authority,Business\Legal,Autorité,Power,Subordinate,"Authority refers to the power or right to give orders, make decisions, and enforce obedience.",B1,The police have the authority to enforce the law.,The manager has the authority to make hiring decisions.,"The regulatory authority imposed new compliance standards, requiring businesses to adapt their operations to meet the updated legal requirements."
Authorize,Business\Legal,Autoriser,Permit,Forbid,To authorize means to give official permission for or approval to do something.,B1,I need to authorize the payment before it can be processed.,The CEO needs to authorize the expense before proceeding.,The supervisor will authorize the budget increase once the revised proposal is reviewed and approved by the finance department.
Availability,Professional Skills\Project Management,Disponibilité,Accessibility,Unavailability,Availability refers to the quality of being ready for use or able to be obtained.,B1,"The availability of tickets is limited, so book early.",Check the availability of the meeting room for tomorrow.,"The availability of raw materials became a critical issue due to supply chain disruptions, forcing the company to seek alternative suppliers to maintain production levels."
Available,Professional Skills\Project Management,Disponible,Accessible,Unavailable,Available means able to be used or obtained; at someone's disposal.,B1,Is this item available in other colors?,The new product will be available next month.,"The new software update will be available for download next week, offering enhanced features and improved security protocols for users."
Avoid,Professional Skills\Project Management,Éviter,Dodge,Confront,To avoid means to stay away from or prevent something.,A2,Try to avoid making unnecessary noise during the presentation.,Employees should avoid using their phones during meetings.,"The company implemented robust compliance measures to avoid regulatory fines and reputational damage, prioritizing ethical conduct and corporate responsibility."
Awareness,Practical and everyday life\Medical expressions/First aid,Conscience,Consciousness,Ignorance,Awareness refers to the knowledge or perception of a situation or fact.,B1,The campaign aimed to raise awareness about environmental issues among the audience.,Awareness of the company's policies is important for all staff.,"The marketing campaign aimed to raise awareness about the environmental impact of plastic waste, encouraging consumers to adopt sustainable practices."
Awkward,Practical and everyday life\Politeness,Maladroit,Clumsy,Graceful,Awkward means causing or feeling embarrassment or inconvenience.,B1,"It was an awkward situation, and nobody knew what to say.",The silence during the meeting was awkward.,"The negotiation process was initially awkward due to cultural differences, but mutual respect and open communication eventually led to a successful agreement."
Background,Professional Skills\Story Telling,Arrière-plan,Contexte,Foreground,Background refers to the area or scenery behind the main object of contemplation.,A2,What's your background in marketing?,He has a strong background in finance.,The candidate's extensive background in international finance made her the ideal choice for the position of Chief Financial Officer at the global corporation.
Backpack,Practical and everyday life\Transportation,Sac à dos,Rucksack,Suitcase,A backpack is a bag with shoulder straps that allow it to be carried on one's back.,A2,Don't forget to pack your backpack for the trip.,She packed her laptop in her backpack.,The new product line of ergonomic backpack was designed to appeal to young professionals seeking stylish and practical solutions for daily commutes.
Baggage claim,Practical and everyday life\Transportation,Livraison des bagages,Baggage pickup,Baggage check,Baggage claim is the area in an airport where passengers collect their luggage after a flight.,B1,You can collect your luggage at the baggage claim area.,Pick up your luggage at the baggage claim area.,"The frequent flyer program offered expedited baggage claim services, enhancing the travel experience for premium customers."
Balance,Business\Finance; Practical and everyday life\Numbers and Dates,Équilibre,Harmony,Imbalance,Balance refers to a state of equilibrium or stability.,B1,It's important to maintain a balance between work and personal life.,We need to balance the budget by the end of the month.,"The key challenge for the management team is to balance short-term profitability with long-term sustainability, ensuring steady growth while maintaining investor confidence."
Balance sheet,Business\Finance,Bilan comptable,Statement of financial position,-,"A balance sheet is a financial document summarizing an organization’s assets, liabilities, and equity at a specific point in time.",B2,"The company published its annual balance sheet, showing its financial assets and liabilities",The balance sheet shows the company's financial position.,"The company's balance sheet revealed significant growth in assets over the past fiscal year, indicating a robust financial position poised for further expansion"
Bank,Business\Finance,Banque,Banker,Borrower,A bank is a financial institution that accepts deposits from the public and creates credit.,A1,The bank approved the loan application after a thorough review of the applicant’s financial history.,He went to the bank to deposit the check.,The multinational bank launched a series of digital transformation initiatives to streamline operations and enhance customer service across all touchpoints.
Bankruptcy,Business\Finance,Faillite,Insolvent,Solvent,Bankruptcy refers to a person or organization that has been declared in law as unable to pay their debts.,B1,The company declared bankruptcy last year.,The company filed for bankruptcy after failing to recover from losses.,The once-thriving retail chain filed for bankruptcy after a series of poor financial decisions and inability to adapt to the changing market landscape.
bar,Business\Retail,barre,obstacle,opening,"A bar is a long rigid piece of wood, metal, or similar material, typically used as a barrier or for support.",B2,The barcode on the product makes it easy to scan at checkout.,There is a bar near the office where employees often go for drinks.,"The new industry regulations set a high bar for compliance, requiring companies to implement more rigorous internal controls and transparency measures."
Barcode,Industries\Retail,Code-barres,Barcode reader,Plain text,A barcode is a machine-readable code in the form of numbers and a pattern of parallel lines.,A2,She held onto the bar to support herself during the exercise.,Scan the barcode to get product information.,"The new inventory management system uses advanced barcode scanning technology to track product movement in real-time, significantly reducing errors and improving efficiency."
Bargain,Industries\Retail,Marchander,Haggle,Fixed price,A bargain is an agreement between two parties concerning the sale of property at a lower price.,B1,I managed to find a bargain at the flea market.,They found a great bargain at the office supply store.,"The procurement team managed to bargain effectively with suppliers, securing high-quality raw materials at a reduced cost and improving the company's profit margins."
Basic,Practical and everyday life\Guide,Basique,Fundamental,Advanced,Basic means forming an essential foundation or starting point; fundamental.,A2,The course covers all the basic principles of accounting.,We need to focus on the basic elements of the project.,"The training program covers basic sales techniques and customer service skills, ensuring that new employees are well-prepared to engage with clients and meet their needs."
Beat off,Business\Sales (CSR),Repousser,Defeat,Lose,To beat off means to defeat or ward off an opponent or threat.,B1,The team managed to beat off their competitors and win the championship.,The competitors tried to beat off our new campaign.,"The company managed to beat off several competitors to win the lucrative government contract, thanks to its innovative approach and competitive pricing."
Behave,Practical and everyday life\Politeness,Se comporter,Conduct,Misbehave,"To behave means to act or conduct oneself in a specified way, especially in public or formal situations.",B1,The children were told to behave during the school trip.,Employees are expected to behave professionally at all times.,"Employees are expected to behave professionally at all times, adhering to the company's code of conduct to foster a respectful and productive work environment."
Belongings,Practical and everyday life\Guide,Affaires,Possessions,Emptiness,Belongings are the things that belong to someone; possessions.,B1,Don't forget to collect all your belongings before you leave the hotel.,Keep an eye on your belongings while traveling.,"The company provided lockers for employees to securely store their personal belongings during working hours, promoting a clutter-free workspace."
Beneficial,Business\Finance,Bénéfique,Advantageous,Harmful,Beneficial means favorable or advantageous; resulting in good.,B1,Regular exercise is beneficial for both physical and mental health.,Regular exercise is beneficial for your health.,"The strategic alliance with the tech firm proved beneficial for both parties, combining expertise to innovate and capture new market segments."
Benefit,Business\Finance,Avantage,Advantage,Disadvantage,A benefit is an advantage or profit gained from something.,B1,The new software update is designed to benefit users by improving system performance and enhancing overall security.,The company offers a good benefits package.,"The new software update is designed to benefit users by significantly improving system performance, providing enhanced security features, and offering a more intuitive user interface, ultimately leading to increased productivity and a smoother overall experience."
Beverage,Practical and everyday life\Culture,Boisson,Drink,Solid food,A beverage is a drink other than water.,B1,Would you like a hot or cold beverage with your meal?,The waiter brought our beverages quickly.,"The food and beverage industry has seen a shift towards healthier options, prompting companies to innovate and cater to evolving consumer preferences."
Bid,Business\Finance; Business\Sales (CSR),Offre,Offer,Refusal,A bid is an offer to pay a particular amount of money for something.,B1,The company placed a bid for the construction project.,They placed a bid on the new project.,"The construction firm submitted a competitive bid for the government contract, highlighting its experience and cost-effective solutions to win the project."
Bill,Business\Finance; Industries\Retail,Facture,Invoice,Payment,A bill is a written or printed statement of money owed for goods or services.,B1,Can you please pay the electricity bill this month?,Please review the bill before paying.,"The finance department issued the monthly utility bill to all departments, ensuring timely payments and accurate budget tracking."
Binder,Practical and everyday life\Guide,Classeur,Folder,Loose papers,A binder is a cover for holding sheets of paper together in a file.,B1,The documents are organized neatly in the binder.,I need a binder to organize these documents.,"The project manager organized all critical documents in a binder, making it easy to reference important information during team meetings and client presentations."
Blanket,Practical and everyday life\Guide,Couverture,Covering,Exposed,A blanket is a large piece of cloth used as a covering for warmth or as a bed covering.,B1,She covered herself with a warm blanket while watching TV.,They provided a blanket for the overnight flight.,The new policy implemented a blanket ban on personal social media use during work hours to enhance productivity and focus among employees.
Block,Professional Skills\Project Management,Bloquer,Obstruct,Allow,To block means to obstruct or close off a passage or opening.,B1,"There's a roadblock ahead, so we'll need to find an alternative route.",We need to block out some time for the meeting.,"A major cyber attack threatened to block access to the company's servers, prompting the IT department to deploy advanced security measures to protect sensitive data."
Board,Professional Skills\Meetings Skills,Embarquer,Climb aboard,Disembark,"To board means to get on or into a ship, aircraft, or other vehicle.",B1,The passengers are now boarding the plane.,Board members need to arrive at the boardroom by 9 AM.,The board of directors convened an emergency meeting to discuss the unexpected decline in quarterly earnings and strategize on potential recovery plans.
Boarding pass,Practical and everyday life\Transportation,Carte d'embarquement,Ticket,Check-in,"A boarding pass is a document provided by an airline during check-in, giving a passenger permission to board the airplane.",B1,Don't forget to bring your boarding pass to the airport.,Don't forget your boarding pass before going through security.,"The airline introduced a digital boarding pass system that allows passengers to check in via their smartphones, reducing wait times and streamlining the boarding process."
Boardroom,Professional Skills\Meetings Skills,Salle de réunion,Meeting room,Restroom,"A boardroom is a room in which a group of people meets, especially for formal discussions.",B1,The meeting will take place in the boardroom on the top floor.,The meeting will be held in the boardroom on the top floor.,"The newly renovated boardroom features state-of-the-art audiovisual equipment, providing an ideal setting for high-level executive meetings and presentations."
Boast,Practical and everyday life\Politeness,Se vanter,Brag,Humble,"To boast means to talk with excessive pride and self-satisfaction about one's achievements, possessions, or abilities.",B1,He likes to boast about his accomplishments.,The company boasts a strong track record in innovation.,"The startups boast a diverse team of industry experts and a unique business model, positioning itself as a leader in the competitive tech landscape."
Book,Practical and everyday life\Guide; Professional Skills\Meetings Skills,Réserver,Reserve,Cancel,"To book means to arrange or reserve (accommodation, a ticket, a place, etc.) in advance.",A1,I'll book a table for two at the restaurant for tonight.,They decided to book a conference room for the meeting.,The company's travel policy requires employees to book flights at least two weeks in advance to take advantage of lower fares and reduce travel expenses.
Booking,Practical and everyday life\Guide; Professional Skills\Meetings Skills,Réserver,Reserve,Cancel,"A book or booking is a reservation made for a service or facility, such as a hotel room or flight.",B2,booking a hotel room in advance is important to ensure safety ,The booking for the hotel was confirmed.,The team made the booking for the conference room well in advance to ensure that the space was available for their important client meeting
Boost,Business\Marketing; Business\Sales (CSR),Augmenter,Increase,Decrease,To boost means to help or encourage (something) to increase or improve.,B1,The new marketing strategy helped boost sales.,The new marketing campaign aims to boost sales.,The marketing campaign aims to boost brand awareness and drive sales by utilizing targeted advertisements and engaging social media content
Bored,Practical and everyday life\Hobbies and leisure,Ennuyé,Uninterested,Engaged,Bored means feeling weary because one is unoccupied or lacks interest in one's current activity.,A2,I'm feeling bored; let's do something fun.,He felt bored during the long meeting.,"The long-winded and unstructured presentation left many attendees bored and disengaged, highlighting the need for more dynamic and interactive communication methods."
Borrow,Business\Finance,Emprunter,Loan,repay,"To borrow means to take something, especially money, temporarily with the intention of returning it.",B1,I had to borrow some money from my friend to pay for the repairs.,You can borrow my pen if you need to.,"The company strategically leverages its strong market position and robust financial standing to borrow capital at favorable rates, enabling aggressive expansion into new markets and continuous innovation in product development."
Bother,Practical and everyday life\Politeness,Déranger,Annoy,Comfort,To bother means to take the trouble to do something.,B1,Don't bother about the dishes; I'll take care of them.,Don't bother the manager with minor issues.,"The manager didn't want to bother the team with trivial matters, focusing instead on addressing the critical issues affecting the project's progress."
Bottom line,Business\Finance,Résultat net,Conclusion,Open-ended,Bottom line refers to the final total of a financial statement.,B1,The bottom line is that we need to increase our revenue.,The bottom line is that we need to increase profits.,"Implementing cost-saving measures and optimizing operational efficiencies significantly improved the company's bottom line, leading to higher profits."
Branch,Business\Finance; Business\Sales (CSR),Succursale,Subsidiary,Head office,A branch is a local office or business belonging to a larger organization.,B1,The company plans to open a new branch in the city center.,The bank has a branch on Main Street.,The company plans to open a new branch in the downtown area to cater to the growing demand for its services and expand its customer base.
Branch out,Business\Finance,Diversifier,Expand,Narrow down,To branch out means to diversify or extend into new areas.,B2,The company plans to branch out into new markets next year.,They plan to branch out into new markets next year.,"The successful expansion into international markets allowed the company to branch out from its domestic stronghold, diversifying revenue streams and mitigating risk"
Brand,Business\Marketing,Marque,Trademark,Generic,A brand is a type of product manufactured by a particular company under a particular name.,A2,Nike is a well-known brand for sports apparel.,The brand is well-known for its quality products.,"The company invested in a comprehensive rebranding initiative to refresh its image, align its messaging with current market trends, and strengthen its brand presence in the competitive landscape."
Break down,Business\IT,Décortiquer / Tomber en panne,Analyze,Combine,To break down means to analyze or disintegrate. It can also refer to a mechanical failure.,B1,Can you break down the costs for me?,The car broke down on the way to the meeting.,The financial analyst's ability to break down complex financial data into actionable insights enabled informed decision-making by the executive team.
Break into,Business\Marketing,S’introduire par effraction,Intrude,Exit,To break into means to forcibly enter a place.,B1,It's difficult to break into the competitive fashion industry.,They plan to break into the European market next year.,"The startup's disruptive technology enabled it to break into established markets, disrupting incumbents and capturing market share with its innovative solutions."
Briefcase,Practical and everyday life\Guide,Porte-documents,Case,Bag,"A briefcase is a flat, rectangular container, typically made of leather, for carrying documents.",A2,He carries all his important documents in a leather briefcase.,He carried his documents in a sleek briefcase.,"The executive always carried a sleek leather briefcase to important meetings, containing all necessary documents and a laptop for presentations."
Briefing,Professional Skills\Meetings Skills,Réunion d'information,Debriefing,Misinformation,A briefing is an act of giving someone detailed instructions or information.,B1,The manager gave us a briefing on the new project.,The team received a briefing before the project started.,"The morning briefing covered the day's key objectives, ensuring that all team members were aligned and informed about their tasks and deadlines."
Bring forward,Professional Skills\Meetings Skills; Professional Skills\Project Management,Avancer,Advance,Postpone,To bring forward means to move something to an earlier time or date.,B1,Let's bring forward the meeting to accommodate everyone's schedule.,We decided to bring forward the meeting to earlier in the week.,"The project manager proposed to bring forward the deadline for the product launch, necessitating accelerated development and marketing efforts to capitalize on market opportunities ahead of competitors."
Bring out,Business\Marketing,Mettre en avant / Révéler,Highlight,Conceal,To bring out means to reveal or emphasize something.,B1,The new recipe book will bring out the chef in everyone.,The new CEO plans to bring out several new products.,"The marketing campaign's creative messaging and captivating visuals bring out the unique value proposition of the company's product, driving customer engagement and brand loyalty"
Bring up,Professional Skills\Meetings Skills; Professional Skills\Project Management,Évoquer,Raise,Lower,To bring up means to introduce a topic or subject for discussion.,B1,I need to bring up an important issue during the staff meeting.,Please bring up the issue at the next meeting.,"During the meeting, Jane decided to bring up the issue of the delayed project timeline to ensure that everyone was aware of the potential impact on the overall schedule"
Broadcast,Professional Skills\Story Telling,Diffuser,Air,Record,To broadcast means to transmit (a program or some information) by radio or television.,B1,The news was broadcast live on television.,They broadcast the announcement live on TV.,"The CEO's annual address was broadcast live to all employees worldwide, providing updates on company performance and future plans."
Broaden,Professional Skills\Project Management,Élargir,Expand,Narrow,To broaden means to become larger in distance from side to side; widen.,B1,Traveling can broaden your horizons and open your mind to new cultures.,We need to broaden our customer base.,"The company seeks to broaden its product range to include eco-friendly options, tapping into the growing market for sustainable goods."
Browser,Business\IT,Navigateur,Web browser,App,A browser is a program used to view HTML documents on the internet.,B1,Which internet browser do you prefer to use?,She used a browser to search for information online.,"The IT department recommended using a secure browser to access company portals, enhancing cybersecurity and protecting sensitive information."
Brush,Practical and everyday life\Guide,Brosse,Comb,Untidy,"A brush is a tool with bristles or other filaments used for cleaning, grooming, or painting.",B1,She brushed her hair before leaving the house.,I keep a brush in my desk for quick touch-ups.,"The marketing team decided to brush up on their social media strategies, taking a workshop on the latest digital marketing trends to stay competitive."
Budget,Business\Finance,Budget,Finances,Overspend,A budget is an estimate of income and expenditure for a set period of time.,B1,We need to adjust our budget to handle the buildup of maintenance costs.,The marketing team is working within a tight budget.,The financial analyst proposed a comprehensive budget plan that allocates funds towards innovation while maintaining cost control across departments.
Build up,Business\Finance,Construire / Développer,Develop,Dismantle,To build up means to develop or strengthen something.,A2,The company set a budget for the buildup of new office supplies.,We need to build up our social media presence.,"The project manager allocated a significant portion of the budget to the marketing campaign, anticipating a substantial build up of customer interest ahead of the product launch."
Bulletin,Professional Skills\Story Telling,Bulletin,Newsletter,Individual,A bulletin is a brief official statement or broadcast summary of news.,A2,The company sends out a weekly bulletin to all employees.,The company issued a bulletin to announce the new policy.,"The company bulletin featured the latest updates on corporate policies, upcoming events, and achievements, keeping all employees informed and engaged."
Burn out,Business\HR,Épuisement professionnel,Exhaustion,Energy,Burn out refers to extreme fatigue caused by work-related stress.,B1,Working long hours without breaks can cause employees to burn out quickly.,Working long hours can lead to burnout.,"Companies that fail to address employee well-being risk seeing their workforce burn out, leading to decreased productivity and increased turnover rates"
Bust,Business\Finance,Faire faillite,Insolvent,Solvent,Bankrupt means that a company or individual cannot repay their debts.,B1,"After several years of financial struggles, the company finally went bankrupt. / The police raided the illegal gambling den and busted the operation.",The startup went bust after only six months.,The unexpected market downturn could bust the company's growth projections for the year.
Buy out,Business\Finance,Racheter,Acquire,Sell,To buy out means to acquire all or a significant portion of a company by purchasing its shares.,B1,The larger company decided to buy out its smaller competitor to expand its market share.,They decided to buy out their competitor.,"After months of negotiations, the multinational corporation successfully executed a buy out of its smaller competitor, thereby expanding its market share and consolidating its industry position."
Cabin crew,Practical and everyday life\Transportation,Personnel de cabine,Flight attendant,Passengers,Cabin crew refers to the staff working on board an aircraft.,B1,The cabin crew will assist you with any questions during the flight.,The cabin crew ensured all passengers were comfortable.,The airline's cabin crew underwent extensive training to ensure they could handle any in-flight emergencies and provide exceptional customer service.
Cafeteria,Practical and everyday life\Guide,Cafétéria,Canteen,Fine dining,A cafeteria is a restaurant where customers serve themselves from a counter and pay before eating.,A1,The office cafeteria serves a variety of meals for lunch.,The cafeteria serves lunch from 11:30 AM to 2 PM.,The new company cafeteria offers a variety of healthy meal options to promote employee wellness and improve overall workplace satisfaction.
Calculate,Business\Finance; Practical and everyday life\Numbers and Dates,Calculer,Compute,Guess,To calculate means to determine (the amount or number of something) mathematically.,B1,Let me calculate how much we'll need for the trip.,We need to calculate the total cost of the project.,The project manager needed to calculate the potential ROI of the new initiative to justify the proposed investment to the senior leadership team.
Calculation,Business\Finance; Practical and everyday life\Numbers and Dates,Calcul,Computation,Estimate,A calculation is the process of determining something by mathematical or logical methods.,B1,The calculation shows that we're still within budget.,The calculation of the budget was straightforward.,Accurate calculation of production costs is essential to setting competitive prices while ensuring profitability in a highly competitive market.
Calculator,Practical and everyday life\Guide,Calculatrice,Computer,Abacus,A calculator is a small electronic device used for performing calculations.,B1,Do you have a calculator I can borrow for the exam?,I always keep a calculator on my desk.,The financial department relies on advanced calculator and software tools to analyze data and forecast future economic trends.
Call off,Professional Skills\Meetings Skills,Annuler,Cancel,Proceed,To call off means to cancel or abandon a planned event or activity.,B1,"Due to the weather, we have to call off the outdoor event.",They had to call off the meeting due to bad weather.,"Due to unforeseen logistical challenges and supply chain disruptions, the multinational corporation was forced to call off its highly anticipated merger with a strategic partner, citing insurmountable integration hurdles"
Campaign,Business\Marketing,Campagne,Crusade,Retreat,A campaign is a series of military operations intended to achieve a particular objective.,B1,The charity launched a fundraising campaign to build a new school.,The new advertising campaign starts next week.,The marketing team launched a nationwide advertising campaign to boost brand recognition and drive sales during the holiday season.
Cancel,Business\Legal,Annuler,Call off,Proceed,To cancel means to decide or announce that (a planned event) will not take place.,B1,I need to cancel my subscription to the magazine.,The event was canceled due to unforeseen circumstances.,"Due to unforeseen circumstances, the company had to cancel the annual conference, disappointing many employees who were looking forward to the event."
Cancellation,Business\Legal,Annulation,Calling off,Confirmation,A cancellation is the action of canceling something that has been arranged or planned.,B1,The cancellation of the event disappointed many attendees.,The sudden cancellation of the meeting caught everyone by surprise.,The sudden cancellation of the project led to a reassessment of resource allocation and a strategic pivot to more promising opportunities.
Candidacy,Business\HR/Recruitment,Candidature,Nomination,Disqualification,Candidacy refers to the position of being a candidate for an elected office.,B1,His candidacy for the presidency was announced last week.,She submitted her candidacy for the open position.,Her strong leadership skills and extensive industry experience made her candidacy for the position of Chief Marketing Officer highly compelling.
Candidate,Business\HR,Candidat,Nominee,Opponent,A candidate is a person who applies for a job or is nominated for election.,A2,There are several candidates running for mayor in the upcoming election.,Each candidate will be interviewed next week.,"The recruitment team shortlisted the most qualified candidate for the role, emphasizing the importance of a thorough vetting process to ensure the best fit for the company's culture and needs."
candidates,Business\Recruitment,candidats,nominees,non-nominees,Candidates are people who are competing for a position or honor.,A2,Several candidates have emerged as potential successors to the CEO.,The HR department will review all candidates' applications.,"The selection committee meticulously shortlisted three candidates for the final round of interviews, each bringing a unique blend of skills, experience, and innovative ideas to the table."
candidature,Business\Recruitment,candidature,nomination,withdrawal,Candidature is the state of being a candidate.,A2,Her candidature for the position was well-received by the selection committee.,He announced his candidature for the board of directors.,"His candidature was strongly endorsed by multiple senior executives, who recognized his exceptional potential to drive the company forward through visionary leadership and strategic foresight."
Capacity,Professional Skills\Project Management,Capacité,Volume,Limit,Capacity refers to the maximum amount that something can contain or produce.,A2,The venue has a capacity of 500 people.,The venue has a capacity of 300 people.,"The manufacturing plant is currently operating at full capacity, necessitating the expansion of facilities to meet increasing demand for the product."
Capital,Business\Finance,Capitale,Principal,Debt,Capital refers to the most important city or town of a country or region.,A1,London is the capital city of England.,The company secured capital from investors to fund its new project.,"The startup successfully raised capital through a series of venture funding rounds, enabling rapid growth and product development."
Career,Business\HR,Carrière,Profession,Hobby,A career is an occupation undertaken for a significant period of a person's life and with opportunities for progress.,A1,She's had a successful career in finance.,She is looking to advance her career in the finance industry.,"The company offers comprehensive career development programs, including mentorship and advanced training, to help employees achieve their professional goals."
Careless,Business\HR,Imprudent,Negligent,Careful,Careless means not giving sufficient attention or thought to avoiding harm or errors.,A2,Don't be careless with the company's confidential information.,careless mistake led to a significant delay in the project.,"A careless mistake in the financial report resulted in significant discrepancies, highlighting the need for meticulous attention to detail in accounting practices."
Carry out,Professional Skills\Project Management; Business\Supply Chain,Effectuer,Perform,Neglect,To carry out means to perform or accomplish a task or action.,B1,We need to carry out a thorough investigation before reaching any conclusions., The team will carry out the plan as outlined in the proposal.,"The project manager meticulously planned each phase, ensuring the team could carry out their tasks efficiently and meet the tight deadline."
Cash,Business\Finance,Argent liquide,Money,Credit,"Cash refers to money in coins or notes, as distinct from checks, money orders, or credit.",A2,I'll need to withdraw some cash from the ATM., The store only accepts cash for small purchases.,"Maintaining a healthy cash flow is crucial for the company's day-to-day operations, ensuring liquidity and the ability to meet short-term obligations."
Cashier,Industries\Retail,Caissier,Teller,Customer,"A cashier is a person handling payments and receipts in a store, bank, or other business.",A2,The cashier rang up my groceries at the supermarket., The cashier handled the transactions smoothly during the busy hours.,"The new cashier system was implemented to streamline the checkout process, reducing wait times and improving the overall customer experience."
Catch on,Business\Marketing,Comprendre / Saisir,Grasp,Miss,To catch on means to understand or become popular.,B1,The new trend seems to be catching on quickly.," It took a while, but the new trend eventually caught on with consumers.","Despite initial skepticism, the innovative marketing campaign eventually managed to catch on, gaining widespread traction and reshaping consumer preferences in the market"
Cause,Professional Skills\Project Management,Cause,Reason,Result,"A cause is a person or thing that gives rise to an action, phenomenon, or condition.",A1,The heavy rainfall was the cause of the flooding.,The main cause of the delay was a shortage of materials.,"The marketing team identified the cause of the recent decline in sales, attributing it to increased competition and changing consumer preferences."
Cautious,Practical and everyday life\Politeness,Prudent,Wary,Reckless,Cautious means careful to avoid potential problems or dangers.,B1,He's very cautious when it comes to making decisions.,He was cautious about investing in the new startup without thorough research.,"The board adopted a cautious approach to expansion, prioritizing thorough market research and risk assessment before entering new markets."
Celebrate,Events\Birthdays; Practical and everyday life\Culture,Célébrer,Commemorate,Mourn,To celebrate means to acknowledge (a significant or happy day or event) with a social gathering or enjoyable activity.,B1,We're going out to celebrate my sister's birthday tonight., The team will celebrate their success with a party at the end of the month.,"The company decided to celebrate its 25th anniversary with a grand gala, inviting all employees and key stakeholders to commemorate its achievements."
Celebration,Events\Birthdays; Practical and everyday life\Culture,Célébration,Festivity,Mourning,"A celebration is the action of marking one's pleasure at an important event or occasion by engaging in enjoyable, typically social, activity.",A2,The town holds an annual celebration to mark its founding.," The annual celebration was a huge success, with everyone enjoying the festivities.","The annual holiday celebration was a great opportunity for employees to unwind, network with colleagues from different departments, and reflect on the year's successes."
Cell phone,Practical and everyday life\Guide,Téléphone portable,Mobile phone,Landline,A cell phone is a portable telephone that can make and receive calls over a radio frequency link while the user is moving within a telephone service area.,A2,Please remember to turn off your cell phone during the meeting.,Please turn off your cell phone during the meeting.,The new policy restricts cell phone use during meetings to ensure that all participants remain focused and engaged in the discussion.
Certificate,Professional Skills\Project Management,Certificat,Diploma,Failure,"A certificate is an official document attesting to a fact, qualification, or promise.",A2,She received a certificate of achievement for her outstanding performance.,She received a certificate upon completing the professional development course.,"Upon completion of the leadership training program, participants received a certificate that recognized their commitment to professional development and enhanced managerial skills."
Certification,Professional Skills\Project Management,Certification,Qualification,Disqualification,Certification refers to the action or process of providing someone or something with an official document attesting to a status or level of achievement.,A2,The course offers certification in project management.,Obtaining certification in project management will enhance your qualifications.,"Obtaining ISO certification has significantly improved the company's credibility and customer trust, demonstrating adherence to international quality standards."
Chain,Industries\Retail,Chaîne,Series,Independence,A chain is a connected flexible series of metal links used for fastening or securing objects and pulling or supporting loads.,B1,The company operates a chain of restaurants across the country.,The restaurant chain has locations across the country.,The supply chain disruptions caused by the global pandemic prompted the company to reassess its logistics and inventory strategies to ensure resilience and reliability.
Chain store,Industries\Retail,Magasin en chaîne,Retail chain,Independent store,A chain store is a retail outlet that is one of a group owned and operated by a single organization.,B1,Walmart is a well-known chain store., The chain store offers a variety of products at competitive prices.,The retail chain store introduced a new loyalty program to attract repeat customers and increase overall sales across its multiple locations.
Chair,Professional Skills\Meetings Skills,Chaise,Seat,Stand,"A chair is a separate seat for one person, typically with a back and four legs.",A2,Please take a seat in the chair next to mine., The chair of the meeting called everyone to order.,The CEO will chair the upcoming board meeting to discuss the new strategic initiatives and ensure all key decisions are made efficiently.
Chairman,Professional Skills\Meetings Skills; Business\HR,Président,Chair,Member,A chairman is a person in charge of a meeting or organization.,B1,The chairman of the board will lead the meeting., The chairman of the board will address the shareholders at the annual meeting.,"The chairman of the board delivered an inspiring speech at the shareholders' meeting, outlining the company's strategic vision and future growth plans."
Chairperson,Professional Skills\Meetings Skills; Business\HR,Président,Chair,Member,"A chairperson is a person who presides over a meeting, committee, or debate.",B1,The chairperson will introduce the guest speaker.,The chairperson ensured that all members had the opportunity to speak.,"The chairperson called the meeting to order, ensuring that the agenda was followed and that all key issues were discussed thoroughly."
Characteristic,Professional Skills\Story Telling,Caractéristique,Trait,Uncharacteristic,"A characteristic is a feature or quality belonging typically to a person, place, or thing and serving to identify it.",B1,One characteristic of successful entrepreneurs is resilience.,Punctuality is a key characteristic of a successful employee.,"Innovation is a key characteristic of our company culture, driving continuous improvement and creative solutions in product development."
Characterize,Professional Skills\Story Telling,Caractériser,Describe,Misidentify,To characterize means to describe the distinctive nature or features of.,B1,The report will characterize the market trends by highlighting key growth areas and emerging opportunities,The report characterizes the company as innovative and forward-thinking.,"The study aims to characterize the key traits of successful entrepreneurs, focusing on qualities such as resilience, adaptability, and innovation."
Charge,Business\Finance,Charger,Load,Discharge,To charge means to demand (an amount) as a price from someone for a service rendered or goods supplied.,B1,What's the charge for using the gym facilities?,There will be an additional charge for expedited shipping.,"The hotel applies a nightly charge for valet parking services, which is added to the guest's final bill upon check-out."
Charity,Practical and everyday life\Culture,Charité,Philanthropy,Selfishness,"Charity refers to the voluntary giving of help, typically in the form of money, to those in need.",B1,The charity provides support for homeless people.,The company donated a significant amount to the local charity.,"The corporate social responsibility program supports a  local charity through donations and volunteer initiatives, fostering community engagement and goodwill."
