Numero,Mot,example sentence (facile),Corrected Sentence,Indicateur
352,Deadline,We need to meet the deadline by the end of the week.,We need to meet the deadline by the end of the week.,Non modifié
353,Deal,They negotiated a deal that was mutually beneficial.,They negotiated a deal that was mutually beneficial.,Non modifié
354,Deal with,I'll deal with the customer complaints as soon as possible.,I'll deal with the customer complaints as soon as possible.,Non modifié
355,Debit,You can pay by debit card or credit card.,You can pay by debit card or credit card.,Non modifié
356,Debt,He's struggling to pay off his student debt.,He's struggling to pay off his student debt.,Non modifié
357,Decision,We need to make a decision soon.,We need to make a decision soon.,Non modifié
358,declare,He declared his intention to run for mayor.,Declare is important because he declared his intention to run for mayor.,Modifié
359,decline,He declined the invitation to the party.,Decline is important because he declined the invitation to the party.,Modifié
360,Decorate,She likes to decorate her house with colorful artwork.,She likes to decorate her house with colorful artwork.,Non modifié
361,Decrease,The price of the product has decreased since last month.,The price of the product has decreased since last month.,Modifié
362,Dedicate,She decided to dedicate herself fully to her studies.,She decided to dedicate herself fully to her studies.,Non modifié
363,Deduct,You can deduct business expenses from your taxable income.,You can deduct business expenses from your taxable income.,Non modifié
364,Defect,The manufacturer will replace any product with a defect.,The manufacturer will replace any product with a defect.,Non modifié
365,Defective,The toy was returned to the store because it was defective.,The toy was returned to the store because it was defective.,Non modifié
366,Definite,We'll need a definite answer by tomorrow.,We'll need a definite answer by tomorrow.,Non modifié
367,Definitely,I'm definitely going to the concert tonight.,I'm definitely going to the concert tonight.,Non modifié
368,Degree,He earned a degree in computer science from a prestigious university.,He earned a degree in computer science from a prestigious university.,Non modifié
369,Delay,The flight has been delayed due to bad weather.,The flight has been delayed due to bad weather.,Modifié
370,Delete,Please delete the unnecessary files from the system.,Please delete the unnecessary files from the system.,Non modifié
371,Delight,It was a delight to meet you.,It was a delight to meet you.,Non modifié
372,Delighted,She was delighted with the gift.,She was delighted with the gift.,Non modifié
373,Deliver,The courier will deliver the package tomorrow.,The courier will deliver the package tomorrow.,Non modifié
374,Delivery,The delivery of the goods was delayed due to bad weather.,The delivery of the goods was delayed due to bad weather.,Non modifié
375,Demand,There's a high demand for organic produce.,There's a high demand for organic produce.,Non modifié
376,Demanding,"The job can be demanding at times, but it's also rewarding.","The job can be demanding at times, but it's also rewarding.",Non modifié
377,Demonstrate,Let me demonstrate how to use the software.,Let me demonstrate how to use the software.,Non modifié
378,Depart,The flight is scheduled to depart at 9 a.m.,The flight is scheduled to depart at 9 a.m.,Non modifié
379,Department,The sales department is responsible for generating revenue.,The sales department is responsible for generating revenue.,Non modifié
380,Departure,The departure of the flight was delayed by two hours.,The departure of the flight was delayed by two hours.,Non modifié
381,Depend on,Your success will depend on your dedication and hard work.,Your success will depend on your dedication and hard work.,Non modifié
382,dependable,You can always count on him; he's very dependable.,You can always count on him; he's very dependable.,Non modifié
383,dependably,The system has functioned dependably for years.,The system has functioned dependably for years.,Non modifié
384,Dependence,Many countries have a dependence on fossil fuels.,Many countries have a dependence on fossil fuels.,Non modifié
385,dependent,Children are dependent on their parents for care and guidance.,Children are dependent on their parents for care and guidance.,Non modifié
386,depending,The success of the project will vary depending on funding.,The success of the project will vary depending on funding.,Non modifié
387,Deposit,You'll need to make a deposit to secure your reservation.,You'll need to make a deposit to secure your reservation.,Non modifié
388,Description,Can you provide a brief description of the problem?,Can you provide a brief description of the problem?,Non modifié
389,Design,She studied design at university and now works for a fashion company.,She studied design at university and now works for a fashion company.,Non modifié
390,Designate,The room was designated as a quiet study area.,The room was designated as a quiet study area.,Modifié
391,Desperate,He was desperate to find a job after being unemployed for months.,He was desperate to find a job after being unemployed for months.,Non modifié
392,Dessert,"I'll have the cheesecake for dessert, please.","I'll have the cheesecake for dessert, please.",Non modifié
393,Destination,Our destination is a remote village in the mountains.,Our destination is a remote village in the mountains.,Non modifié
394,Detail,The report includes every detail of the project.,The report includes every detail of the project.,Non modifié
395,Detailed,She provided a detailed explanation of the process.,She provided a detailed explanation of the process.,Non modifié
396,Detect,The alarm system is designed to detect any intruders.,The alarm system is designed to detect any intruders.,Non modifié
397,Deterioration,The deterioration of the building was evident from the cracks in the walls.,The deterioration of the building was evident from the cracks in the walls.,Non modifié
398,Determine,A thorough investigation is needed to determine the cause of the fire.,A thorough investigation is needed to determine the cause of the fire.,Non modifié
399,Determined,She's determined to achieve her goals no matter what.,She's determined to achieve her goals no matter what.,Non modifié
400,Develop,The company plans to develop new products for the international market.,The company plans to develop new products for the international market.,Non modifié
401,Developer,He's a software developer working on the latest mobile app.,He's a software developer working on the latest mobile app.,Non modifié
402,Development,The development of renewable energy sources is essential for a sustainable future.,The development of renewable energy sources is essential for a sustainable future.,Non modifié
403,Device,The new device is compatible with both Android and iOS.,The new device is compatible with both Android and iOS.,Non modifié
404,Diagnose,The doctor will diagnose the cause of your symptoms.,The doctor will diagnose the cause of your symptoms.,Non modifié
405,Differential,The differential between the two products is minimal.,The differential between the two products is minimal.,Non modifié
406,Director,She's the director of marketing for the company.,She's the director of marketing for the company.,Non modifié
407,Disagree,It's okay to disagree; healthy debate can lead to better solutions.,It's okay to disagree; healthy debate can lead to better solutions.,Non modifié
408,Disagreement,There was a disagreement about how to proceed with the project.,There was a disagreement about how to proceed with the project.,Non modifié
409,disallow,The referee disallowed the goal due to a foul.,Disallow is important because the referee disallowed the goal due to a foul.,Modifié
410,Disappointing,The results of the experiment were disappointing.,The results of the experiment were disappointing.,Non modifié
411,Disconnect,The sudden power outage caused the computer to disconnect from the network.,The sudden power outage caused the computer to disconnect from the network.,Non modifié
412,Discount,The store is offering a discount on all items this weekend.,The store is offering a discount on all items this weekend.,Non modifié
413,Discrepancy,There seems to be a discrepancy between the two reports.,There seems to be a discrepancy between the two reports.,Non modifié
414,Discrimination,The company has a zero-tolerance policy for discrimination.,The company has a zero-tolerance policy for discrimination.,Non modifié
415,Discuss,Let's discuss the details of the proposal at the meeting.,Let's discuss the details of the proposal at the meeting.,Non modifié
416,Discussion,"The discussion lasted for hours, but we finally reached a decision.","The discussion lasted for hours, but we finally reached a decision.",Non modifié
417,Dish,I ordered the seafood dish for dinner.,I ordered the seafood dish for dinner.,Non modifié
418,Dismiss,The judge decided to dismiss the case due to lack of evidence.,The judge decided to dismiss the case due to lack of evidence.,Non modifié
419,Dismissive,He gave a dismissive wave of his hand and walked away.,He gave a dismissive wave of his hand and walked away.,Non modifié
420,Display,The museum has a display of ancient artifacts.,The museum has a display of ancient artifacts.,Non modifié
421,Disposable,Please use the disposable gloves when handling the chemicals.,Please use the disposable gloves when handling the chemicals.,Non modifié
422,Dispose,You can dispose of the packaging in the recycling bin.,You can dispose of the packaging in the recycling bin.,Non modifié
423,Dispute,The two parties are in a dispute over land ownership.,The two parties are in a dispute over land ownership.,Non modifié
424,disrupted,The flight schedule was disrupted due to bad weather.,The flight schedule was disrupted due to bad weather.,Non modifié
425,Disruption,The construction work caused a disruption to traffic in the area.,The construction work caused a disruption to traffic in the area.,Non modifié
426,dissatisfaction,There was widespread dissatisfaction with the government's policies.,There was widespread dissatisfaction with the government's policies.,Non modifié
427,Distinctive,The design of the building is distinctive and unique.,The design of the building is distinctive and unique.,Non modifié
428,Distinguish,It's important to distinguish between fact and opinion.,It's important to distinguish between fact and opinion.,Non modifié
429,Distribute,Volunteers will distribute food to those in need.,Volunteers will distribute food to those in need.,Non modifié
430,Distribution,The distribution of wealth is uneven in many countries.,The distribution of wealth is uneven in many countries.,Non modifié
431,Dividend,Shareholders received a dividend payment at the end of the year.,Shareholders received a dividend payment at the end of the year.,Non modifié
432,Document,Make sure to document all your expenses for reimbursement.,Make sure to document all your expenses for reimbursement.,Non modifié
433,documentary,She watched a documentary about wildlife conservation.,She watched a documentary about wildlife conservation.,Non modifié
434,documented,The findings of the study are well-documented in the research paper.,The findings of the study are well-documented in the research paper.,Non modifié
435,documenting,He spent the afternoon documenting the archaeological finds.,He spent the afternoon documenting the archaeological finds.,Non modifié
436,documents,Make sure to keep all important documents in a safe place.,Make sure to keep all important documents in a safe place.,Non modifié
437,Domestic,Domestic violence is a serious issue that affects families worldwide.,Domestic violence is a serious issue that affects families worldwide.,Non modifié
438,Donate,I donated all my old clothes to charity.,I donated all my old clothes to charity.,Modifié
439,Donation,Thank you for your generous donation to the school.,Thank you for your generous donation to the school.,Non modifié
440,Double,The company doubled its profits in the last quarter.,The company doubled its profits in the last quarter.,Modifié
441,Down payment,We had to make a down payment of 20% on the house.,We had to make a down payment of 20% on the house.,Non modifié
442,Download,You can download the app for free from the app store.,You can download the app for free from the app store.,Non modifié
443,Downmarket,This brand is trying to move upmarket with its latest collection.,Downmarket is important because this brand is trying to move upmarket with its latest collection.,Modifié
444,Downsize,The company had to downsize due to financial difficulties.,The concept of Downsize is widely used in various contexts.,Non modifié
445,Downturn,The economic downturn led to widespread job losses.,The economic downturn led to widespread job losses.,Non modifié
446,Downward,The graph shows a downward trend in sales.,The graph shows a downward trend in sales.,Non modifié
447,Dramatic,There was a dramatic increase in temperature overnight.,There was a dramatic increase in temperature overnight.,Non modifié
448,Drastic,The company made a drastic decision to restructure the organization.,The company made a drastic decision to restructure the organization.,Non modifié
449,Drastically,The price of oil has dropped drastically in the last month.,The price of oil has dropped drastically in the last month.,Non modifié
450,Draw,She likes to draw in her spare time.,She likes to draw in her spare time.,Non modifié
451,Draw up,The lawyers will draw up a contract outlining the terms of the agreement.,The lawyers will draw up a contract outlining the terms of the agreement.,Non modifié
452,Drawer,The key to the file cabinet is in the top drawer.,The key to the file cabinet is in the top drawer.,Non modifié
453,Drive,It's about a two-hour drive from here to the beach.,It's about a two-hour drive from here to the beach.,Non modifié
454,Drop,Be careful not to drop your phone in the water.,Be careful not to drop your phone in the water.,Non modifié
455,Dull,The movie was so dull that I fell asleep halfway through.,The movie was so dull that I fell asleep halfway through.,Non modifié
456,Duration,The duration of the flight is approximately four hours.,The duration of the flight is approximately four hours.,Non modifié
457,Duty-free,The duty-free shop at the airport sells a variety of goods.,The duty-free shop at the airport sells a variety of goods.,Non modifié
458,Earn,He works hard to earn a living for his family.,He works hard to earn a living for his family.,Non modifié
459,Earnings,His earnings have increased since he started his own business.,His earnings have increased since he started his own business.,Non modifié
460,Economical,Buying in bulk is more economical in the long run.,Buying in bulk is more economical in the long run.,Non modifié
461,Economize,We need to economize and cut unnecessary expenses.,We need to economize and cut unnecessary expenses.,Non modifié
462,Economy,The global economy is experiencing a period of uncertainty.,The global economy is experiencing a period of uncertainty.,Non modifié
463,Effective,Regular exercise is effective in reducing stress levels.,Regular exercise is effective in reducing stress levels.,Non modifié
464,Effectively,She communicated her ideas effectively during the presentation.,She communicated her ideas effectively during the presentation.,Non modifié
465,Effectiveness,The effectiveness of the new drug has been proven in clinical trials.,The effectiveness of the new drug has been proven in clinical trials.,Non modifié
466,efficacy,The efficacy of the new drug has been proven in clinical trials.,The efficacy of the new drug has been proven in clinical trials.,Non modifié
467,Efficiency,The new software improved the efficiency of our workflow.,The new software improved the efficiency of our workflow.,Non modifié
468,gap,There is a significant gap between the rich and the poor in this country.,There is a significant gap between the rich and the poor in this country.,Non modifié
469,acceptted,The board accepted the revised budget plan recognizing its importance,Acceptted plays a role in the board accepted the revised budget plan recognizing its importance .,Modifié
470,Accounted for,"The financial discrepancies were meticulously accounted for in the audit, providing a clear and accurate financial overview",The concept of Accounted for is widely used in various contexts.,Non modifié
471,acted,"The management team acted promptly to implement the new strategy, resulting in immediate improvements in operational efficiency.","The management team acted promptly to implement the new strategy, resulting in immediate improvements in operational efficiency.",Non modifié
472,Adapted,The company adapted its strategies to meet new market demands and improve efficiency,The company adapted its strategies to meet new market demands and improve efficiency,Non modifié
473,admired,The innovative approach of the startup was admired by industry leaders for its creativity and effectiveness.,The innovative approach of the startup was admired by industry leaders for its creativity and effectiveness.,Non modifié
474,admitted,The manager admitted that the project's initial budget was underestimated and promised to revise the financial plan,The concept of admitted is widely used in various contexts.,Non modifié
475,Advertisements,The company launched multiple advertisements across various media to reach a broader audience,The company launched multiple advertisements across various media to reach a broader audience,Non modifié
476,Advised,I advised them to work harder to get a promotion,I advised them to work harder to get a promotion,Non modifié
477,Affected,The change in policy will affected everyone in the company.,The change in policy will affected everyone in the company.,Non modifié
478,aisles,"The supermarket organized the aisles into clear sections for produce, dairy, and bakery items, making it easier for customers to find what they need.","The supermarket organized the aisles into clear sections for produce, dairy, and bakery items, making it easier for customers to find what they need.",Non modifié
479,Anticipated,We anticipated the market crash,We anticipated the market crash,Non modifié
480,Apology,an apology is a must have treat in the corporate world,an apology is a must have treat in the corporate world,Non modifié
481,Appliances,The store featured a range of energy-efficient appliances to attract environmentally conscious customers,The store featured a range of energy-efficient appliances to attract environmentally conscious customers,Non modifié
482,Applicants,The company interviewed several qualified applicants for the open position.,The company interviewed several qualified applicants for the open position.,Non modifié
483,Approved,The appropriation of funds was approved by the finance committee.,The concept of Approved is widely used in various contexts.,Non modifié
484,Areas,They decided to share the areas rather than go to court.,They decided to share the areas rather than go to court.,Non modifié
485,Arguing,they spent the last three years arguing about whose the real owner of the land,they spent the last three years arguing about whose the real owner of the land,Non modifié
486,Arranged,the HR deparetemnt arranged a party to celebrate the increase in turnover,the HR deparetemnt arranged a party to celebrate the increase in turnover,Non modifié
487,Arrangements,the arrangement made by the ceo was not suitable for everyone,Arrangements plays a role in the arrangement made by the ceo was not suitable for everyone .,Modifié
488,Authorized,"Only authorized personnel are allowed to access the secure data files, ensuring that sensitive information remains protected from unauthorized use.","Only authorized personnel are allowed to access the secure data files, ensuring that sensitive information remains protected from unauthorized use.",Non modifié
489,Assembled,"The team assembled the prototype, testing each component for quality.","The team assembled the prototype, testing each component for quality.",Non modifié
490,Assessment,The manager carries an assessment of the project's progress each week.,The manager carries an assessment of the project's progress each week.,Non modifié
491,Benefits,One of the benefits of working here is the flexible schedule.,One of the benefits of working here is the flexible schedule.,Non modifié
492,Assigned,The company's assigned the job to a new employer,The company's assigned the job to a new employer,Non modifié
493,Assumed,he assumed he will be fired after his mistake,he assumed he will be fired after his mistake,Non modifié
494,Boosted,The new marketing strategy boosted the sales.,The new marketing strategy boosted the sales.,Non modifié
495,Characterized,His actions are characterized by kindness and generosity.,His actions are characterized by kindness and generosity.,Non modifié
496,CompatibIlity,The software's compatibility with various operating systems ensures that users can access its features regardless of their device,The software's compatibility with various operating systems ensures that users can access its features regardless of their device,Non modifié
497,Compensation,"The company reviewed its compensation structure to ensure it was competitive and fair, offering adjustments to salaries and benefits based on market standards and employee performance.","The company reviewed its compensation structure to ensure it was competitive and fair, offering adjustments to salaries and benefits based on market standards and employee performance.",Non modifié
498,Complimented,She complimented heron her presentation skills.,She complimented heron her presentation skills.,Non modifié
499,Confirmed,have you confirmed your attendance at the meeting?,have you confirmed your attendance at the meeting?,Non modifié
500,Considered,We considered all options before making a decision.,We considered all options before making a decision.,Non modifié
501,Consulted,consulted with the legal team before proceeding.,consulted with the legal team before proceeding.,Non modifié
502,Continuing,we are continuing our discussion after the break.,we are continuing our discussion after the break.,Non modifié
503,Elderly,The program provides assistance to elderly individuals living alone.,The program provides assistance to elderly individuals living alone.,Non modifié
504,Electrical,The electrical wiring in the building needs to be updated.,The electrical wiring in the building needs to be updated.,Non modifié
505,Elevator,Please take the elevator to the fifth floor.,Please take the elevator to the fifth floor.,Non modifié
506,Embark,They're planning to embark on a round-the-world trip next year.,They're planning to embark on a round-the-world trip next year.,Non modifié
507,Emergency,"In case of emergency, please dial 911.","In case of emergency, please dial 911.",Non modifié
508,Emphasize,I can't emphasize enough how important this is.,I can't emphasize enough how important this is.,Non modifié
509,Employ,The company plans to employ new staff next month.,The company plans to employ new staff next month.,Non modifié
510,Employee,All employees must attend the safety training session.,All employees must attend the safety training session.,Modifié
511,Employer,The employer is responsible for providing a safe work environment.,The employer is responsible for providing a safe work environment.,Non modifié
512,Employment,Employment opportunities in the tech industry are on the rise.,Employment opportunities in the tech industry are on the rise.,Non modifié
513,Enable,The new software will enable us to streamline our workflow.,The new software will enable us to streamline our workflow.,Non modifié
514,Enclose,Please enclose a copy of your resume with your application.,Please enclose a copy of your resume with your application.,Non modifié
515,Encourage,I encourage you to pursue your dreams.,I encourage you to pursue your dreams.,Non modifié
516,Endurance,Long-distance runners need a lot of endurance to complete a marathon.,Long-distance runners need a lot of endurance to complete a marathon.,Non modifié
517,Endure,"Despite the challenges, she managed to endure and overcome them.","Despite the challenges, she managed to endure and overcome them.",Non modifié
518,Engineer,He's an engineer working for a multinational corporation.,He's an engineer working for a multinational corporation.,Non modifié
519,Engineering,She's studying engineering at university.,She's studying engineering at university.,Non modifié
520,Enhance,The company aims to enhance the customer experience.,The company aims to enhance the customer experience.,Non modifié
521,Ensure,We need to ensure that all safety regulations are followed.,We need to ensure that all safety regulations are followed.,Non modifié
522,Enterprise,Starting a business requires a lot of enterprise and dedication.,Starting a business requires a lot of enterprise and dedication.,Non modifié
523,Enthusiastic,She's always enthusiastic about trying new things.,She's always enthusiastic about trying new things.,Non modifié
524,Enthusiastically,They welcomed the idea of a team-building retreat enthusiastically.,They welcomed the idea of a team-building retreat enthusiastically.,Non modifié
525,Entitlement,Employees are entitled to a certain number of vacation days per year.,Entitlement is important because employees are entitled to a certain number of vacation days per year.,Modifié
526,Entrée,The main entrée of the evening was a delicious seafood dish.,The main entrée of the evening was a delicious seafood dish.,Non modifié
527,Environment,We need to protect the environment for future generations.,We need to protect the environment for future generations.,Non modifié
528,Environmental,The environmental impact of the project needs to be assessed.,The environmental impact of the project needs to be assessed.,Non modifié
529,Equivalent,This amount of money is roughly equivalent to what we spent last year.,This amount of money is roughly equivalent to what we spent last year.,Non modifié
530,Essential,Water is essential for all living organisms.,Water is essential for all living organisms.,Non modifié
531,Establish,The company aims to establish itself as a leader in sustainable practices.,The company aims to establish itself as a leader in sustainable practices.,Non modifié
532,establish,They plan to establish a new business next year.,They plan to establish a new business next year.,Non modifié
533,Estimate,Can you give me an estimate of how much the repairs will cost?,Can you give me an estimate of how much the repairs will cost?,Non modifié
534,Estimate,Can you give me an estimate of how much the repairs will cost?,Can you give me an estimate of how much the repairs will cost?,Non modifié
535,Etiquette,Knowing proper etiquette is important when attending formal events.,Knowing proper etiquette is important when attending formal events.,Non modifié
536,Evaluate,It's important to evaluate the success of the project objectively.,It's important to evaluate the success of the project objectively.,Non modifié
537,evaluating,The committee is currently evaluating the candidates for the job.,The committee is currently evaluating the candidates for the job.,Non modifié
538,Event,"The charity event raised over $10,000 for a good cause.","The charity event raised over $10,000 for a good cause.",Non modifié
539,Evidence,The police found new evidence that could lead to a breakthrough in the case.,The police found new evidence that could lead to a breakthrough in the case.,Non modifié
540,Evolve,Technology continues to evolve at a rapid pace.,Technology continues to evolve at a rapid pace.,Non modifié
541,Exact,Can you provide the exact location of the meeting?,Can you provide the exact location of the meeting?,Non modifié
542,Examination,He passed the entrance examination with flying colors.,He passed the entrance examination with flying colors.,Non modifié
543,Examine,The doctor will examine you now.,The doctor will examine you now.,Non modifié
544,Excel,She excels in math and science.,She excels in math and science.,Modifié
545,Excellent,The service at the restaurant was excellent.,The service at the restaurant was excellent.,Non modifié
546,Excursion,They went on an excursion to explore the nearby caves.,They went on an excursion to explore the nearby caves.,Non modifié
547,Executive,The executive team met to discuss the company's quarterly earnings.,The executive team met to discuss the company's quarterly earnings.,Non modifié
548,Exhibit,The museum exhibits artifacts from ancient civilizations.,The museum exhibits artifacts from ancient civilizations.,Modifié
549,Expand,The company plans to expand its operations overseas.,The company plans to expand its operations overseas.,Non modifié
550,Expansion,The expansion of the business into new markets was a success.,The expansion of the business into new markets was a success.,Non modifié
551,Expect,I expect you to be on time for the meeting.,I expect you to be on time for the meeting.,Non modifié
552,Expectation,The results exceeded our expectations.,The results exceeded our expectations.,Modifié
553,Expenditure,The government has increased its expenditure on healthcare.,The government has increased its expenditure on healthcare.,Non modifié
554,Expense,Traveling abroad can be quite an expense.,Traveling abroad can be quite an expense.,Non modifié
555,Expensive,The designer handbag was too expensive for my budget.,The designer handbag was too expensive for my budget.,Non modifié
556,Experience,She has years of experience in the field.,She has years of experience in the field.,Non modifié
557,Experienced,We're looking for an experienced candidate to fill the position.,We're looking for an experienced candidate to fill the position.,Non modifié
558,Experiment,Scientists often need to experiment to make new discoveries.,Scientists often need to experiment to make new discoveries.,Non modifié
559,Expiration,nan,The concept of Expiration is widely used in various contexts.,Modifié
560,Expiry,Please check the expiration date before consuming the product.,Expiry is important because please check the expiration date before consuming the product.,Modifié
561,Exploration,The exploration of space has led to many scientific discoveries.,The exploration of space has led to many scientific discoveries.,Non modifié
562,Explore,They decided to explore the possibility of opening a new branch.,They decided to explore the possibility of opening a new branch.,Non modifié
563,Express,You need to express your opinions clearly during the presentation.,You need to express your opinions clearly during the presentation.,Non modifié
564,Extend,We decided to extend our vacation by another week.,We decided to extend our vacation by another week.,Non modifié
565,Extension,The deadline has been extended by another week.,Extension is important because the deadline has been extended by another week.,Modifié
566,External,The external factors influencing the market are beyond our control.,The external factors influencing the market are beyond our control.,Non modifié
567,Facilities,The hotel offers excellent facilities for business travelers.,The hotel offers excellent facilities for business travelers.,Non modifié
568,Facility,The new sports facility has state-of-the-art equipment for athletes to train.,The new sports facility has state-of-the-art equipment for athletes to train.,Non modifié
569,Factor,Price is just one factor to consider when making a decision.,Price is just one factor to consider when making a decision.,Non modifié
570,Factory,"The factory produces over 1,000 units per day.","The factory produces over 1,000 units per day.",Non modifié
571,Fad,That diet is just a fad; it won't last long.,That diet is just a fad; it won't last long.,Non modifié
572,Fail,"If you fail to plan, you plan to fail.","If you fail to plan, you plan to fail.",Non modifié
573,Failure,The project was a failure due to lack of funding.,The project was a failure due to lack of funding.,Non modifié
574,Fair,He's known for being fair and impartial in his decisions.,He's known for being fair and impartial in his decisions.,Non modifié
575,Fall through,"Unfortunately, our plans to expand overseas fell through.","Unfortunately, our plans to expand overseas fell through.",Non modifié
576,Fall to,It falls to the manager to make the final decision.,It falls to the manager to make the final decision.,Non modifié
577,Famed,The restaurant is famed for its delicious seafood dishes.,The restaurant is famed for its delicious seafood dishes.,Non modifié
578,Fare,The fare for the train ride was quite expensive.,The fare for the train ride was quite expensive.,Non modifié
579,Fault,The fault lies with the management for not addressing the issue sooner.,The fault lies with the management for not addressing the issue sooner.,Non modifié
580,Faulty,The alarm system was faulty and failed to go off during the break-in.,The alarm system was faulty and failed to go off during the break-in.,Non modifié
581,Favor,Can you do me a favor and pick up my dry cleaning?,Can you do me a favor and pick up my dry cleaning?,Non modifié
582,Fax,He sent the contract via fax for her to review.,He sent the contract via fax for her to review.,Non modifié
583,Feature,The new smartphone has a number of innovative features.,The new smartphone has a number of innovative features.,Modifié
584,Fee,There's a small fee for using the ATM outside of the bank's network.,There's a small fee for using the ATM outside of the bank's network.,Non modifié
585,Feedback,We welcome your feedback on how we can improve our services.,We welcome your feedback on how we can improve our services.,Non modifié
586,Field,She's an expert in her field of study.,She's an expert in her field of study.,Non modifié
587,Figure,Can you provide a rough figure for the project budget?,Can you provide a rough figure for the project budget?,Non modifié
588,Figures,The quarterly financial report includes several figures that illustrate the company's revenue growth and profit margins.,The concept of Figures is widely used in various contexts.,Non modifié
589,File,Please ensure that the project file is backed up and properly organized before the end of the day.,Please ensure that the project file is backed up and properly organized before the end of the day.,Non modifié
590,Fill out,You need to fill out this form before your appointment.,You need to fill out this form before your appointment.,Non modifié
591,Finance,He works in finance and specializes in investment banking.,The concept of Finance is widely used in various contexts.,Non modifié
592,finances,She's in charge of the company's finances.,The concept of finances is widely used in various contexts.,Non modifié
593,Financial,The company is in good financial health.,The concept of Financial is widely used in various contexts.,Non modifié
594,financially,They are financially stable and able to invest in their future.,The concept of financially is widely used in various contexts.,Non modifié
595,financier,The financier backed the startup with a substantial investment.,The concept of financier is widely used in various contexts.,Non modifié
596,Firm,She works for a law firm in the city.,She works for a law firm in the city.,Non modifié
597,Fix,The repairman will fix the leaky faucet tomorrow.,The repairman will fix the leaky faucet tomorrow.,Non modifié
598,Flexible,"The job offers flexible hours, which is perfect for me.","The job offers flexible hours, which is perfect for me.",Non modifié
599,Flight,Their flight was delayed due to bad weather.,Their flight was delayed due to bad weather.,Non modifié
600,Flight attendant,The flight attendant served drinks and snacks to the passengers.,The flight attendant served drinks and snacks to the passengers.,Non modifié
601,Fluctuate,Prices fluctuate depending on supply and demand.,Prices fluctuate depending on supply and demand.,Non modifié
602,Fluctuation,There has been a fluctuation in the exchange rate recently.,There has been a fluctuation in the exchange rate recently.,Non modifié
603,fly-by-night,Be cautious when dealing with fly-by-night companies promising unrealistic returns.,Be cautious when dealing with fly-by-night companies promising unrealistic returns.,Non modifié
604,Focus,Please focus on the main objectives of the project.,Please focus on the main objectives of the project.,Non modifié
605,Focused,The team remained focused throughout the challenging deadline,The team remained focused throughout the challenging deadline,Non modifié
606,Fold,Fold the document along the dotted line before placing it in the envelope.,Fold the document along the dotted line before placing it in the envelope.,Non modifié
607,Folder,I saved the report in the designated folder on the shared drive,I saved the report in the designated folder on the shared drive,Non modifié
608,Force,"The company had to force changes in its strategy to adapt to market conditions.""","The company had to force changes in its strategy to adapt to market conditions.""",Non modifié
609,Forecast,The weather forecast predicts rain for the weekend.,The weather forecast predicts rain for the weekend.,Non modifié
610,forecasting,Weather forecasting is based on analysis of atmospheric conditions.,Weather forecasting is based on analysis of atmospheric conditions.,Non modifié
611,Foreign,"The company is expanding into foreign markets to increase its global presence.""","The company is expanding into foreign markets to increase its global presence.""",Non modifié
612,Forget,Don't forget to submit your expense report by the end of the day.,Don't forget to submit your expense report by the end of the day.,Non modifié
613,Forgetful,"He is sometimes forgetful about deadlines, so setting reminders helps.","He is sometimes forgetful about deadlines, so setting reminders helps.",Non modifié
614,Form,Please fill out the application form and submit it by email.,Please fill out the application form and submit it by email.,Non modifié
615,Forward,Please forward the email to the relevant department.,Please forward the email to the relevant department.,Non modifié
616,Founded,The company was founded in 1995 and has grown significantly since then,The company was founded in 1995 and has grown significantly since then,Non modifié
617,Frank,She gave a frank assessment of the project's challenges during the meeting.,She gave a frank assessment of the project's challenges during the meeting.,Non modifié
618,Frankly,"Frankly, I think the proposal needs more detailed analysis before approval","Frankly, I think the proposal needs more detailed analysis before approval",Non modifié
619,frequently,She frequently visits her parents on weekends.,She frequently visits her parents on weekends.,Non modifié
620,Front desk,You can ask for assistance at the front desk.,You can ask for assistance at the front desk.,Non modifié
621,Fuel,The company needs to fuel its vehicles before starting the long trip,The company needs to fuel its vehicles before starting the long trip,Non modifié
622,Fulfill,The team worked hard to fulfill all customer orders before the holiday.,The team worked hard to fulfill all customer orders before the holiday.,Non modifié
623,fulfill,The company promises to fulfill all orders within 48 hours.,The company promises to fulfill all orders within 48 hours.,Non modifié
624,Function,The new software's main function is to streamline data entry,The new software's main function is to streamline data entry,Non modifié
625,Functional,The office is fully functional after the recent renovations.,The office is fully functional after the recent renovations.,Non modifié
626,Fund,The charity event aims to raise funds for the local hospital.,The charity event aims to raise funds for the local hospital.,Modifié
627,Fundraising,The organization is planning a fundraising gala to support its new initiative,The organization is planning a fundraising gala to support its new initiative,Non modifié
628,Furniture,The office furniture needs to be replaced due to wear and tear,The office furniture needs to be replaced due to wear and tear,Non modifié
629,Further,We need to research further to understand the market trends.,We need to research further to understand the market trends.,Non modifié
630,Gather,Let's gather all the necessary documents before the meeting.,Let's gather all the necessary documents before the meeting.,Non modifié
631,Gesture,Sending a thank-you note is a nice gesture to show appreciation,Sending a thank-you note is a nice gesture to show appreciation,Non modifié
632,get by,"Despite financial difficulties, they manage to get by each month.",The concept of get by is widely used in various contexts.,Non modifié
633,Get in touch,"If you have any questions, feel free to get in touch.","If you have any questions, feel free to get in touch.",Non modifié
634,get on,She gets on well with her colleagues at work.,She gets on well with her colleagues at work.,Non modifié
