Category,Theme,Sub-theme,Business Term,Example Sentence
Health,At the Doctor’s,Diagnosis & Tests,Allergy Patch Test,Allergy patch tests identify skin reactions.
Health,At the Doctor’s,Diagnosis & Tests,Genetic Testing,Genetic testing helps detect hereditary diseases.
Health,At the Doctor’s,Symptoms,Persistent Cough,A persistent cough may indicate infection.
Health,At the Doctor’s,Symptoms,Chills,Chills often accompany fever.
Health,At the Doctor’s,Symptoms,Swollen Lymph Nodes,Swollen lymph nodes may signal infection.
Health,At the Doctor’s,Medical Conditions,Lupus,Lupus is an autoimmune disease.
Health,At the Doctor’s,Medical Conditions,Multiple Sclerosis,Multiple sclerosis affects the nervous system.
Health,At the Doctor’s,Medical Conditions,Parkinson’s Disease,Parkinson’s disease affects movement control.
Health,At the Pharmacy,Medications,Nasal Spray,Nasal sprays help relieve congestion.
Health,At the Pharmacy,Medications,Muscle Relaxant,Muscle relaxants reduce spasms.
Health,At the Pharmacy,Medications,Corticosteroid,Corticosteroids reduce inflammation.
Health,At the Pharmacy,Medication Instructions,Shake Before Use,Some liquids must be shaken before use.
Health,At the Pharmacy,Medication Instructions,Store in Refrigerator,Some medicines require refrigeration.
Health,Healthy Living,Workplace Health,Mental Health Hotline,Some companies offer a mental health hotline.
Health,Healthy Living,Workplace Health,Office Air Quality,Good air quality reduces sickness.
Health,Healthy Living,Preventive Care,Cardiac Screening,Cardiac screening helps prevent heart issues.
Health,Healthy Living,Preventive Care,Flu Prevention Program,Flu prevention programs reduce infections.
Health,Emergency Care,First Aid,Burn Dressing,Burn dressings protect damaged skin.
Health,Emergency Care,First Aid,Splint Application,Splints stabilize broken bones.
Health,Emergency Care,Emergency Situations,Fainting,Fainting may be caused by low blood pressure.
Health,Emergency Care,Emergency Situations,Heatstroke,Heatstroke can be life-threatening.
Health,At the Doctor’s,Medical Consultation,Virtual Consultation,Virtual consultations are available online.
Health,At the Doctor’s,Medical Consultation,Home Visit,Some doctors offer home visits.
Health,At the Doctor’s,Medical Consultation,Patient Intake Form,Patients must fill a patient intake form.
Health,At the Doctor’s,Diagnosis & Tests,Blood Culture Test,A blood culture test detects infections.
Health,At the Doctor’s,Diagnosis & Tests,Allergy Patch Test,Allergy patch tests identify skin reactions.
Health,At the Doctor’s,Diagnosis & Tests,Genetic Testing,Genetic testing helps detect hereditary diseases.
Health,At the Doctor’s,Symptoms,Persistent Cough,A persistent cough may indicate infection.
Health,At the Doctor’s,Symptoms,Chills,Chills often accompany fever.
Health,At the Doctor’s,Symptoms,Swollen Lymph Nodes,Swollen lymph nodes may signal infection.
Health,At the Doctor’s,Medical Conditions,Lupus,Lupus is an autoimmune disease.
Health,At the Doctor’s,Medical Conditions,Multiple Sclerosis,Multiple sclerosis affects the nervous system.
Health,At the Doctor’s,Medical Conditions,Parkinson’s Disease,Parkinson’s disease affects movement control.
Health,At the Pharmacy,Medications,Nasal Spray,Nasal sprays help relieve congestion.
Health,At the Pharmacy,Medications,Muscle Relaxant,Muscle relaxants reduce spasms.
Health,At the Pharmacy,Medications,Corticosteroid,Corticosteroids reduce inflammation.
Health,At the Pharmacy,Medication Instructions,Shake Before Use,Some liquids must be shaken before use.
Health,At the Pharmacy,Medication Instructions,Store in Refrigerator,Some medicines require refrigeration.
Health,Healthy Living,Workplace Health,Mental Health Hotline,Some companies offer a mental health hotline.
Health,Healthy Living,Workplace Health,Office Air Quality,Good air quality reduces sickness.
Health,Healthy Living,Preventive Care,Cardiac Screening,Cardiac screening helps prevent heart issues.
Health,Healthy Living,Preventive Care,Flu Prevention Program,Flu prevention programs reduce infections.
Health,Emergency Care,First Aid,Burn Dressing,Burn dressings protect damaged skin.
Health,Emergency Care,First Aid,Splint Application,Splints stabilize broken bones.
Health,Emergency Care,Emergency Situations,Fainting,Fainting may be caused by low blood pressure.
Health,Emergency Care,Emergency Situations,Heatstroke,Heatstroke can be life-threatening.
Health,At the Doctor’s,Medical Consultation,Second Opinion,A second opinion can confirm a diagnosis.
Health,At the Doctor’s,Medical Consultation,Walk-in Patient,Walk-in patients do not need appointments.
Health,At the Doctor’s,Medical Consultation,Medical Referral,A medical referral is needed for specialists.
Health,At the Doctor’s,Diagnosis & Tests,Thyroid Function Test,Thyroid function tests detect hormonal imbalances.
Health,At the Doctor’s,Diagnosis & Tests,MRI Contrast,MRI contrast enhances imaging clarity.
Health,At the Doctor’s,Diagnosis & Tests,Colonoscopy,A colonoscopy screens for colon diseases.
Health,At the Doctor’s,Symptoms,Vertigo,Vertigo causes dizziness and imbalance.
Health,At the Doctor’s,Symptoms,Chest Tightness,Chest tightness can signal heart issues.
Health,At the Doctor’s,Symptoms,Tingling Sensation,A tingling sensation may indicate nerve damage.
Health,At the Doctor’s,Medical Conditions,Fibromyalgia,Fibromyalgia causes widespread pain.
Health,At the Doctor’s,Medical Conditions,Endometriosis,Endometriosis affects the reproductive system.
Health,At the Doctor’s,Medical Conditions,Celiac Disease,Celiac disease is triggered by gluten.
Health,At the Pharmacy,Medications,Laxative,Laxatives relieve constipation.
Health,At the Pharmacy,Medications,Antihistamine,Antihistamines help treat allergies.
Health,At the Pharmacy,Medications,Beta Blocker,Beta blockers regulate heart rate.
Health,At the Pharmacy,Medication Instructions,Avoid Alcohol,Some drugs must not be taken with alcohol.
Health,At the Pharmacy,Medication Instructions,Take with Water,Certain pills require plenty of water.
Health,Healthy Living,Workplace Health,Hydration Stations,Hydration stations promote water intake.
Health,Healthy Living,Workplace Health,Posture Support,Posture support prevents back pain.
Health,Healthy Living,Preventive Care,Hearing Protection,Hearing protection prevents noise-induced damage.
Health,Healthy Living,Preventive Care,Skin Hydration,Skin hydration maintains elasticity.
Health,Emergency Care,First Aid,Wound Irrigation,Wound irrigation cleans injuries.
Health,Emergency Care,First Aid,Oxygen Therapy,Oxygen therapy assists breathing issues.
Health,Emergency Care,Emergency Situations,Stroke Warning Signs,Stroke warning signs require immediate care.
Health,Emergency Care,Emergency Situations,Fracture Immobilization,Fracture immobilization prevents further injury.
Health,At the Doctor’s,Medical Consultation,Health Checkup,A health checkup ensures early detection.
Health,At the Doctor’s,Medical Consultation,Initial Diagnosis,An initial diagnosis helps determine treatment.
Health,At the Doctor’s,Medical Consultation,Consultation Fee,A consultation fee is required before seeing a doctor.
Health,At the Doctor’s,Diagnosis & Tests,Blood Pressure Check,Blood pressure checks monitor heart health.
Health,At the Doctor’s,Diagnosis & Tests,Liver Function Test,Liver function tests check for liver diseases.
Health,At the Doctor’s,Diagnosis & Tests,CT Angiography,CT angiography examines blood vessels.
Health,At the Doctor’s,Symptoms,Shortness of Breath,Shortness of breath may indicate lung issues.
Health,At the Doctor’s,Symptoms,Difficulty Swallowing,Difficulty swallowing can be a serious symptom.
Health,At the Doctor’s,Symptoms,Swelling in Legs,Swelling in legs may be due to fluid retention.
Health,At the Doctor’s,Medical Conditions,Hypertension,Hypertension increases the risk of stroke.
Health,At the Doctor’s,Medical Conditions,Anemia,Anemia causes fatigue and weakness.
Health,At the Doctor’s,Medical Conditions,Alzheimer’s Disease,Alzheimer’s disease affects memory and thinking.
Health,At the Pharmacy,Medications,Sedative,Sedatives help patients relax.
Health,At the Pharmacy,Medications,Antiviral Medication,Antiviral medication fights viral infections.
Health,At the Pharmacy,Medications,Calcium Supplement,Calcium supplements strengthen bones.
Health,At the Pharmacy,Medication Instructions,Take with Food,Some medications must be taken with food.
Health,At the Pharmacy,Medication Instructions,Store in a Dry Place,Store medicine in a dry place.
Health,Healthy Living,Workplace Health,Employee Assistance Program,EAP provides mental health support at work.
Health,Healthy Living,Workplace Health,Noise Exposure Monitoring,Noise exposure monitoring prevents hearing loss.
Health,Healthy Living,Preventive Care,Regular Exercise,Regular exercise helps maintain a healthy heart.
Health,Healthy Living,Preventive Care,Dietary Consultation,Dietary consultations guide nutrition choices.
Health,Emergency Care,First Aid,Basic First Aid Kit,A basic first aid kit includes essential supplies.
Health,Emergency Care,First Aid,Bandage Application,Bandages help cover and protect wounds.
Health,Emergency Care,Emergency Situations,Seizure First Aid,Seizure first aid prevents injuries during an episode.
Health,Emergency Care,Emergency Situations,Breathing Difficulty,Breathing difficulty may require oxygen support.
Health,At the Doctor’s,Medical Consultation,Annual Physical Exam,An annual physical exam ensures overall health.
Health,At the Doctor’s,Medical Consultation,Emergency Triage,Emergency triage prioritizes critical patients.
Health,At the Doctor’s,Medical Consultation,Specialist Consultation,Specialist consultations require a referral.
Health,At the Doctor’s,Diagnosis & Tests,CT Scan,A CT scan provides detailed imaging.
Health,At the Doctor’s,Diagnosis & Tests,Glucose Tolerance Test,A glucose tolerance test checks for diabetes.
Health,At the Doctor’s,Diagnosis & Tests,X-Ray Imaging,X-ray imaging helps detect fractures.
Health,At the Doctor’s,Symptoms,Sudden Weight Loss,Sudden weight loss may indicate illness.
Health,At the Doctor’s,Symptoms,Excessive Sweating,Excessive sweating can be a sign of stress.
Health,At the Doctor’s,Symptoms,Skin Rash,A skin rash may be caused by allergies.
Health,At the Doctor’s,Medical Conditions,Migraine,Migraines cause severe headaches.
Health,At the Doctor’s,Medical Conditions,Gastritis,Gastritis leads to stomach inflammation.
Health,At the Doctor’s,Medical Conditions,Chronic Bronchitis,Chronic bronchitis affects lung function.
Health,At the Pharmacy,Medications,Painkiller,Painkillers help manage pain.
Health,At the Pharmacy,Medications,Antibiotic Ointment,Antibiotic ointment treats wounds.
Health,At the Pharmacy,Medications,Cough Syrup,Cough syrup soothes throat irritation.
Health,At the Pharmacy,Medication Instructions,Take on an Empty Stomach,Some pills work best on an empty stomach.
Health,At the Pharmacy,Medication Instructions,Do Not Share Medication,Do not share medication with others.
Health,Healthy Living,Workplace Health,Ergonomic Workstation,An ergonomic workstation prevents back pain.
Health,Healthy Living,Workplace Health,Flexible Work Hours,Flexible work hours reduce stress.
Health,Healthy Living,Preventive Care,Immunization Schedule,An immunization schedule prevents diseases.
Health,Healthy Living,Preventive Care,Sun Protection,Sun protection prevents skin cancer.
Health,Emergency Care,First Aid,Burn Care,Burn care includes applying cold water.
Health,Emergency Care,First Aid,Choking Response,Choking response includes the Heimlich maneuver.
Health,Emergency Care,Emergency Situations,Electric Shock Treatment,Electric shock treatment requires immediate help.
Health,Emergency Care,Emergency Situations,Severe Bleeding,Severe bleeding needs immediate pressure application.
